,dates,candidates_scores,health_scores,immigration_scores,jobs-race_scores,environment_scores,guns_scores,party_scores,economy_scores,winner
0,2012-08-06,2.0,2.0,1.3333333333333333,2.0,2.0,1.75,1.8,1.826086956521739,0
1,2012-08-07,2.0,2.5,2.142857142857143,1.8333333333333333,2.125,2.0,1.875,2.2142857142857144,0
2,2012-08-08,3.0,,,2.6666666666666665,2.0,1.7,2.0,1.826086956521739,0
3,2012-08-09,2.0,1.6666666666666667,2.0,1.3333333333333333,2.2,2.1818181818181817,1.7777777777777777,1.6428571428571428,0
4,2012-08-10,1.6666666666666667,2.0,2.0,2.0,2.5,1.8461538461538463,2.0,1.8888888888888888,0
5,2012-08-11,2.1818181818181817,2.5,2.6,2.0,2.0,2.2,2.3333333333333335,2.2,0
6,2012-08-12,1.5,2.0,2.0,,2.0,2.0,1.6666666666666667,1.6363636363636365,0
7,2012-08-13,2.0,2.5,1.4285714285714286,2.5,2.125,1.4,2.0,1.5294117647058822,0
8,2012-08-14,1.7777777777777777,2.3333333333333335,1.75,1.9090909090909092,2.0,1.3333333333333333,2.111111111111111,1.88,0
9,2012-08-15,2.0,2.0,1.7272727272727273,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.090909090909091,1.875,0
10,2012-08-16,1.6666666666666667,2.0,1.9,1.875,1.6666666666666667,2.4,2.0,1.875,0
11,2012-08-17,2.0,2.0,1.75,3.0,1.6666666666666667,2.0,2.142857142857143,1.9696969696969697,0
12,2012-08-18,1.3333333333333333,2.0,2.0,2.0,2.0,2.0,1.8571428571428572,1.9285714285714286,0
13,2012-08-20,2.0,2.0,2.0,1.75,1.7,1.6666666666666667,1.7,1.8695652173913044,0
14,2012-08-21,1.5,2.3333333333333335,1.0,1.6666666666666667,2.375,1.6,2.5,2.0555555555555554,0
15,2012-08-22,2.0,3.0,,1.8333333333333333,1.6666666666666667,1.8888888888888888,2.0555555555555554,1.6428571428571428,0
16,2012-08-23,2.1,2.0,2.0,2.0,2.5,1.8333333333333333,1.8333333333333333,2.1481481481481484,0
17,2012-08-24,1.7142857142857142,2.3333333333333335,2.0,2.0,2.3333333333333335,1.8,2.0,1.9615384615384615,0
18,2012-08-25,1.8,1.75,1.3333333333333333,2.25,2.2,2.375,2.0,2.0,0
19,2012-08-26,1.8,1.6,,1.0,3.0,2.0,1.9285714285714286,2.0833333333333335,0
20,2012-08-27,2.0,1.6666666666666667,2.0,1.5,1.75,2.0,2.0625,2.0,0
21,2012-08-28,1.2857142857142858,1.5,2.25,,2.0,1.9,1.8333333333333333,2.0434782608695654,0
22,2012-08-29,2.1666666666666665,2.0,1.6666666666666667,2.0,1.4,2.0,1.9655172413793103,2.0638297872340425,0
23,2012-08-30,1.9285714285714286,1.3333333333333333,1.7777777777777777,2.0,2.0,1.6923076923076923,2.0,2.08,0
24,2012-08-31,2.08,1.6666666666666667,1.8333333333333333,2.0,1.7,2.0,2.0,2.088235294117647,0
25,2012-09-01,1.7777777777777777,2.0,1.375,1.6666666666666667,2.0,2.0,2.1666666666666665,1.8,0
26,2012-09-02,2.2222222222222223,,2.0,2.3333333333333335,3.0,2.0,1.7,1.9,0
27,2012-09-03,2.0,1.6666666666666667,1.5,2.0,1.7777777777777777,2.0,2.1666666666666665,2.1724137931034484,0
28,2012-09-04,2.1,1.0,2.0,1.75,1.6,1.8571428571428572,1.9444444444444444,1.625,0
