,dates,candidates_scores,health_scores,immigration_scores,jobs-race_scores,environment_scores,guns_scores,party_scores,economy_scores
0,2020-03-12,1.8461538461538463,,1.9230769230769231,2.0,2.2,2.1666666666666665,1.6363636363636365,1.7037037037037037
1,2020-03-13,1.6666666666666667,1.8,1.6666666666666667,2.5,1.9,1.8571428571428572,1.85,2.0256410256410255
2,2020-03-14,1.7777777777777777,2.0,2.0,2.0,2.6,1.75,1.7142857142857142,1.9444444444444444
3,2020-03-15,1.8333333333333333,1.25,2.0,2.0,1.9285714285714286,2.0,1.8571428571428572,1.92
4,2020-03-16,1.7333333333333334,2.0,1.875,1.5,1.5,1.8333333333333333,2.066666666666667,1.7727272727272727
5,2020-03-17,1.3333333333333333,1.6,1.2857142857142858,2.0,1.4666666666666666,1.5454545454545454,1.875,1.9642857142857142
6,2020-03-18,1.8125,2.0,2.0,1.6666666666666667,1.9,1.8888888888888888,1.9,1.7096774193548387
7,2020-03-19,1.6666666666666667,1.5,1.6,2.0,1.7333333333333334,1.0,1.8461538461538463,1.85
8,2020-03-20,1.5,,1.8571428571428572,1.3333333333333333,1.8888888888888888,2.0,1.894736842105263,1.8387096774193548
9,2020-03-21,1.1428571428571428,2.0,1.8888888888888888,2.0,1.6,,1.7,1.7222222222222223
10,2020-03-22,1.5,,2.2,2.0,2.3,1.0,1.625,1.9545454545454546
11,2020-03-23,2.1666666666666665,2.0,1.5384615384615385,1.0,1.9,1.75,1.8571428571428572,1.7391304347826086
12,2020-03-24,2.0,1.6666666666666667,2.0,1.75,1.8666666666666667,2.0,1.7222222222222223,1.72
13,2020-03-25,1.8,2.0,1.6,1.75,2.0,2.0714285714285716,1.95,1.7058823529411764
14,2020-03-26,2.0,1.8,1.5,1.2,2.1333333333333333,2.1538461538461537,2.130434782608696,2.0
15,2020-03-27,2.0,2.1,1.5,3.0,1.7777777777777777,1.6363636363636365,2.1578947368421053,1.6428571428571428
16,2020-03-28,1.6666666666666667,1.3333333333333333,2.0,3.0,1.6,1.875,1.8,1.6153846153846154
17,2020-03-29,1.6666666666666667,1.0,1.6666666666666667,,1.7142857142857142,1.6666666666666667,1.7142857142857142,2.1538461538461537
18,2020-03-30,2.2,2.0,2.1666666666666665,1.6666666666666667,1.7142857142857142,2.0,1.8,1.88
19,2020-03-31,1.8571428571428572,1.3333333333333333,1.2,1.5,1.5,2.0,1.6923076923076923,1.9428571428571428
20,2020-04-01,1.5714285714285714,2.0,2.0,1.5,1.7,2.0,1.625,1.9444444444444444
21,2020-04-02,2.0,3.0,2.0,2.0,2.0,1.7142857142857142,1.8695652173913044,2.0789473684210527
22,2020-04-03,1.8333333333333333,1.8,1.6666666666666667,1.25,1.6666666666666667,1.8181818181818181,1.8095238095238095,1.7209302325581395
23,2020-04-04,1.6666666666666667,,1.2,,2.0,1.75,2.1818181818181817,1.84
24,2020-04-05,1.6666666666666667,,3.0,2.0,2.0,1.6666666666666667,2.0,1.6
25,2020-04-06,1.6666666666666667,2.0,1.5,1.7142857142857142,2.0,1.5,2.0,2.0625
26,2020-04-07,2.0,2.0,2.0,2.5714285714285716,1.6666666666666667,2.111111111111111,1.8823529411764706,1.8333333333333333
27,2020-04-08,1.7142857142857142,1.75,1.7,1.8333333333333333,1.6363636363636365,1.8,2.0,1.8918918918918919
28,2020-04-09,2.142857142857143,2.0,1.6666666666666667,2.0,1.9230769230769231,1.6363636363636365,2.25,1.8461538461538463
29,2020-04-10,1.875,,1.8,2.0,1.9090909090909092,2.1666666666666665,2.066666666666667,1.8235294117647058
30,2020-04-11,1.6,2.25,2.0,,2.0,1.6666666666666667,1.7272727272727273,1.7647058823529411
31,2020-04-12,1.8333333333333333,,1.5,1.75,2.0,1.8333333333333333,2.0,1.9166666666666667
32,2020-04-13,2.0,,1.75,1.5,1.8571428571428572,2.1666666666666665,1.8571428571428572,1.5789473684210527
33,2020-04-14,1.7894736842105263,2.25,1.5714285714285714,2.0,1.894736842105263,1.375,1.7692307692307692,1.7777777777777777
34,2020-04-15,1.8333333333333333,1.6666666666666667,1.8,1.5,1.6666666666666667,1.7272727272727273,1.8181818181818181,1.8823529411764706
35,2020-04-16,1.9230769230769231,2.0,1.5,1.75,1.75,1.7,1.5384615384615385,1.7727272727272727
36,2020-04-17,2.142857142857143,2.0,2.0,2.0,1.7142857142857142,1.75,1.7272727272727273,1.78125
37,2020-04-18,1.6666666666666667,1.0,2.3333333333333335,1.5,1.3333333333333333,1.625,1.8666666666666667,1.6428571428571428
38,2020-04-19,1.8,2.0,1.6666666666666667,1.3333333333333333,2.3333333333333335,2.2,2.0,2.0
39,2020-04-20,1.8,1.6666666666666667,1.4,1.5,1.8571428571428572,1.8125,1.875,1.8095238095238095
40,2020-04-21,2.0,2.0,1.9166666666666667,2.0,1.6666666666666667,1.9090909090909092,1.7058823529411764,1.9166666666666667
41,2020-04-22,2.4444444444444446,2.0,2.076923076923077,1.0,2.0833333333333335,1.6666666666666667,2.1666666666666665,1.8571428571428572
42,2020-04-23,1.6666666666666667,,1.9090909090909092,1.0,1.8888888888888888,1.5555555555555556,1.9411764705882353,1.7916666666666667
43,2020-04-24,1.8333333333333333,2.0,2.0,2.0,1.8,1.75,1.9285714285714286,1.5217391304347827
44,2020-04-25,1.625,1.0,2.0,1.75,1.2,1.8333333333333333,1.8333333333333333,1.75
45,2020-04-26,1.875,1.0,1.6666666666666667,1.6,1.8333333333333333,2.142857142857143,1.9285714285714286,1.8333333333333333
46,2020-04-27,1.8,1.75,2.0,1.0,1.8333333333333333,2.1,1.7777777777777777,1.9047619047619047
47,2020-04-28,1.6,2.0,2.0,1.5,1.7142857142857142,1.5,1.5,1.6111111111111112
48,2020-04-29,2.0,1.75,1.875,1.5,1.2857142857142858,1.8888888888888888,1.8333333333333333,1.903225806451613
49,2020-04-30,1.6363636363636365,1.0,1.25,1.8,1.9166666666666667,1.8,2.1,2.0303030303030303
50,2020-05-01,1.7647058823529411,2.25,1.6,2.0,2.4,1.8571428571428572,1.7777777777777777,1.75
51,2020-05-02,1.9230769230769231,1.3333333333333333,1.6666666666666667,2.25,1.5454545454545454,1.75,1.9444444444444444,1.5333333333333334
52,2020-05-03,1.8333333333333333,2.0,1.7142857142857142,1.0,1.4285714285714286,1.875,1.9285714285714286,1.9523809523809523
53,2020-05-04,2.142857142857143,2.0,1.8,2.0,2.0,2.0,1.6666666666666667,1.6785714285714286
54,2020-05-05,2.111111111111111,1.1666666666666667,1.8,1.8571428571428572,2.0,2.0,1.8333333333333333,1.5
55,2020-05-06,1.625,1.75,2.0,1.75,1.7777777777777777,2.142857142857143,1.588235294117647,1.6944444444444444
56,2020-05-07,2.0,,2.125,1.4,1.7692307692307692,1.625,1.8571428571428572,1.837837837837838
57,2020-05-08,1.75,1.0,1.2857142857142858,1.8,2.0,1.7272727272727273,1.8888888888888888,1.9696969696969697
58,2020-05-09,1.7142857142857142,2.0,1.75,2.0,1.4,1.8,1.8181818181818181,2.0
59,2020-05-10,2.111111111111111,1.0,1.7777777777777777,1.5,1.7777777777777777,1.8,1.9333333333333333,2.0526315789473686
60,2020-05-11,1.6666666666666667,1.4285714285714286,1.7272727272727273,1.4,1.7,1.5,1.7272727272727273,1.8
61,2020-05-12,1.875,1.0,1.9166666666666667,1.5,2.0,1.8181818181818181,1.7692307692307692,1.7872340425531914
62,2020-05-13,2.0,1.6666666666666667,1.6666666666666667,1.75,1.6923076923076923,1.7,1.9130434782608696,1.7428571428571429
63,2020-05-14,1.875,1.0,2.3333333333333335,1.4285714285714286,1.9,2.0,1.8666666666666667,1.8461538461538463
64,2020-05-15,1.3636363636363635,,1.75,1.3333333333333333,1.6,2.0,1.619047619047619,1.9666666666666666
65,2020-05-16,2.25,,1.6,1.0,1.25,1.5,1.7272727272727273,1.65
66,2020-05-17,2.1538461538461537,,1.4,1.6666666666666667,1.7272727272727273,1.9,2.1666666666666665,1.8214285714285714
67,2020-05-18,2.0,2.0,1.6923076923076923,1.625,1.2222222222222223,2.0,1.8125,1.5
68,2020-05-19,1.7142857142857142,1.6666666666666667,1.7647058823529411,1.75,1.8125,1.5833333333333333,1.8666666666666667,1.825
69,2020-05-20,2.1,2.0,1.7142857142857142,1.6363636363636365,1.619047619047619,1.6,1.7777777777777777,1.7857142857142858
70,2020-05-21,2.0,,1.7692307692307692,1.6666666666666667,1.9166666666666667,1.6666666666666667,2.066666666666667,1.6333333333333333
71,2020-05-22,2.0,1.5,1.7777777777777777,2.0,2.0,1.9166666666666667,2.076923076923077,1.9696969696969697
72,2020-05-23,2.2857142857142856,2.0,2.0,1.6666666666666667,1.9,1.8,2.0,1.8
73,2020-05-24,1.8,,2.0,1.9230769230769231,1.75,1.7857142857142858,1.95,2.0476190476190474
74,2020-05-25,2.0,1.5,1.6666666666666667,2.25,2.0,1.6153846153846154,1.9285714285714286,1.7307692307692308
75,2020-05-26,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.25,1.7272727272727273,1.9090909090909092,2.3157894736842106,1.625
76,2020-05-27,1.3333333333333333,2.0,2.0,2.0,1.8,2.0833333333333335,1.7647058823529411,1.95
77,2020-05-28,2.0,2.0,1.8,1.7777777777777777,2.0588235294117645,1.875,1.7894736842105263,1.8695652173913044
78,2020-05-29,1.8,2.25,1.9,1.6363636363636365,1.875,1.7142857142857142,1.9230769230769231,1.8064516129032258
79,2020-05-30,1.8,2.0,1.6666666666666667,1.4,1.8571428571428572,1.7142857142857142,1.7058823529411764,1.8214285714285714
80,2020-05-31,1.8333333333333333,1.0,1.5,2.2,1.6363636363636365,2.0,1.911764705882353,1.9230769230769231
81,2020-06-01,1.625,,,1.4,1.2,1.7777777777777777,1.6585365853658536,1.8846153846153846
82,2020-06-02,2.0,2.0,1.75,1.6153846153846154,2.0,1.6666666666666667,1.6938775510204083,1.9583333333333333
83,2020-06-03,1.8,3.0,2.0,1.5,1.9473684210526316,2.111111111111111,1.9259259259259258,2.0
84,2020-06-04,2.0833333333333335,1.5,1.4,1.736842105263158,1.8333333333333333,2.3333333333333335,1.8709677419354838,1.896551724137931
85,2020-06-05,1.7692307692307692,,1.75,1.5,1.7142857142857142,1.9090909090909092,1.5609756097560976,1.7954545454545454
86,2020-06-06,1.875,2.0,2.0,2.066666666666667,1.8888888888888888,2.0,1.9310344827586208,1.9166666666666667
87,2020-06-07,2.1,1.6666666666666667,2.6666666666666665,2.125,1.875,1.6666666666666667,1.8076923076923077,1.911764705882353
88,2020-06-08,1.8571428571428572,3.0,1.6666666666666667,2.0,2.0,1.5714285714285714,1.891304347826087,2.0
89,2020-06-09,1.75,,1.2857142857142858,1.6666666666666667,1.6875,1.4444444444444444,1.8484848484848484,1.5161290322580645
90,2020-06-10,1.75,2.0,1.6923076923076923,1.4736842105263157,1.6153846153846154,1.4166666666666667,1.5952380952380953,1.425
91,2020-06-11,2.111111111111111,1.25,2.4444444444444446,1.6666666666666667,1.5,2.125,1.84375,1.6666666666666667
92,2020-06-12,1.875,,1.0,1.8235294117647058,1.9090909090909092,1.8333333333333333,1.896551724137931,2.0
