headlines,terms,dates,scores
us election: obama shifts policy on offshore oil drilling as petrol prices soar,obama,2008-08-04,2
"politics as usual, obama?",obama,2008-08-04,2
us elections: obama proposes rebate for consumers dealing with high fuel costs,obama,2008-08-04,2
gwyneth paltrow urges us expats to vote for barack obama,barack,2008-08-04,2
gwyneth paltrow urges us expats to vote for barack obama,obama,2008-08-04,2
why the moses-obama analogy doesn't work,obama,2008-08-04,2
obama turns 24 years younger than mccain,obama,2008-08-04,3
obama turns 24 years younger than mccain,mccain,2008-08-04,3
notes on a scandal: john akii-bua and his journey from munich gold to tragedy,john,2008-08-05,1
us elections: hillary clinton to hit swing states to campaign for obama,obama,2008-08-05,2
ex-new statesman editor john kampfner joins index on censorship,john,2008-08-05,2
"big chill podcast: bill bailey, john hegley, toby litt and more",john,2008-08-05,1
former us mafia boss john gotti jr arrested in new york,john,2008-08-05,2
obama flip-flops on offshore oil drilling,obama,2008-08-05,1
john prescott: gordon brown is the right person to captain this titanic,john,2008-08-05,2
new collection of john peel's writing due in october,john,2008-08-05,2
"john mccain's blog is a work of art. no, really",john,2008-08-05,3
"john mccain's blog is a work of art. no, really",mccain,2008-08-05,3
tuesday morning memo: texas oil billionares 4 obama,obama,2008-08-05,2
"public tiring of obama, says poll of us voters",obama,2008-08-06,1
us election: obama to take break from campaign to soak up hawaiian sun,obama,2008-08-06,2
mccain's uneasy truce with the gop base,mccain,2008-08-06,2
mccain's foreign policy in a league of its own,mccain,2008-08-06,2
whereas john mccain would come round twice a week to help with the housework,john,2008-08-06,2
whereas john mccain would come round twice a week to help with the housework,mccain,2008-08-06,2
john gotti jr: 'he's managed to slip through the net previously',john,2008-08-06,2
hillary clinton's slur unearthed to hurt obama,obama,2008-08-07,2
fuhgeddaboutit! casting the news: the john gotti jr story,john,2008-08-07,2
"john mccain, est. 1840: ill-advised timeline points up candidate's age",john,2008-08-07,2
"john mccain, est. 1840: ill-advised timeline points up candidate's age",mccain,2008-08-07,2
microsoft oops!  that should be obama....,obama,2008-08-07,2
john leslie: playboy image put me at risk,john,2008-08-08,2
"jazz preview: cleo laine/john dankworth, brecon",john,2008-08-08,2
democrats on edge as obama's high profile fails to deliver big poll lead,obama,2008-08-08,3
former us vice-presidential nominee john edwards admits to having affair,john,2008-08-08,2
a mad men cameo for john mccain?,john,2008-08-08,2
a mad men cameo for john mccain?,mccain,2008-08-08,2
us election: democrats fret about obama's small lead in the polls,obama,2008-08-08,2
"barack obama, baby killer?",barack,2008-08-08,2
"barack obama, baby killer?",obama,2008-08-08,2
"that john edwards story: partly true, at least",john,2008-08-08,2
mccain's hyperfocus on iraq,mccain,2008-08-08,2
"if the democrats want obama to win, they have to get rough",obama,2008-08-09,2
the dissimulation of john edwards,john,2008-08-09,2
us political scandal: john edwards' lover refuses to allow dna test of baby daughter,john,2008-08-10,1
pc john johnson,john,2008-08-11,2
pc john johnson,john,2008-08-11,2
us election: barack obama to text supporters on choice of running mate,barack,2008-08-11,2
us election: barack obama to text supporters on choice of running mate,obama,2008-08-11,2
mccain and obama use conflict in georgia to prove foreign policy mettle,mccain,2008-08-11,3
mccain and obama use conflict in georgia to prove foreign policy mettle,obama,2008-08-11,3
barack obama channels rick astley,barack,2008-08-11,2
barack obama channels rick astley,obama,2008-08-11,2
"the guardian live at the gilded balloon, with john pinette",john,2008-08-12,2
tuesday miscellany: obama secures critical joss stone vote,obama,2008-08-12,2
barack obama has no comment on the gayness or otherwise of dumbledore,barack,2008-08-12,2
barack obama has no comment on the gayness or otherwise of dumbledore,obama,2008-08-12,2
obama adviser compares putin to hitler,obama,2008-08-12,2
