headlines,terms,dates,scores
manufacturing's facts make global sense,manufacture,2000-08-07,2
ec gives e-commerce exchange the go-ahead,economy,2000-08-07,2
jongleurs founders sell stake to regent for £7m,retirement,2000-08-07,2
jongleurs founders sell stake to regent for £7m,retirement,2000-08-07,2
tories enlist economic experts,economy,2000-08-07,2
tories enlist economic experts,export,2000-08-07,2
fly the filthy skies. but tax the fuel,tax,2000-08-07,2
tricks of the trade,trade,2000-08-08,2
keegan attacks england pay-tv plan,loan,2000-08-08,2
the man who got tv off its knees,manufacture,2000-08-08,2
contrary reports with the ring of truth,export,2000-08-08,2
tour firm faces legal action after 20 britons are taken ill in majorca,national,2000-08-08,2
ap biotech moves to us,stimulus,2000-08-08,2
go may be cut from ba as price of deal,bailout,2000-08-08,2
go may be cut from ba as price of deal,bankruptcy,2000-08-08,2
bank of england warns of high inflation if rates are left on hold,bankruptcy,2000-08-09,2
greenspan's lovechild comes of age,package,2000-08-09,2
people like us,stimulus,2000-08-09,2
eco soundings,economy,2000-08-09,2
"lillee defends warne, indian tax officials swoop again",tax,2000-08-09,1
colt telecom hit by chief's resignation,national,2000-08-09,2
mobile phone safety leaves experts divided,export,2000-08-09,2
defeat for sri lanka peace plan,loan,2000-08-09,3
us furious at venezuelan leader's visit to saddam,stimulus,2000-08-10,2
us furious at venezuelan leader's visit to saddam,loan,2000-08-10,2
sitting on the stock of ebay,stock,2000-08-10,2
sitting on the stock of ebay,stock,2000-08-10,2
bookham shocks market with new offering,market,2000-08-10,2
bookham shocks market with new offering,market,2000-08-10,2
sin tax shakedown in japan,tax,2000-08-10,2
"america honours its debt to ishi, last of the yahis",debtstudent,2000-08-10,2
us election costs,stimulus,2000-08-11,2
clinton: a hard act to follow,manufacture,2000-08-11,2
amazon  joins toys r us online,market,2000-08-11,2
amazon  joins toys r us online,retirement,2000-08-11,2
amazon  joins toys r us online,bankruptcy,2000-08-11,2
amazon  joins toys r us online,market,2000-08-11,2
amazon  joins toys r us online,retirement,2000-08-11,2
amazon  joins toys r us online,trade,2000-08-11,2
amazon  joins toys r us online,export,2000-08-11,2
amazon  joins toys r us online,import,2000-08-11,2
amazon  joins toys r us online,manufacture,2000-08-11,2
amazon  joins toys r us online,tariff,2000-08-11,2
amazon  joins toys r us online,stimulus,2000-08-11,2
obituary: alan boon,loan,2000-08-11,2
imf urges ireland to restrain soaring economy,economy,2000-08-11,2
flying kites on fuel tax,tax,2000-08-11,2
would-be tenants left stranded as gazumping hits rental market,market,2000-08-12,1
would-be tenants left stranded as gazumping hits rental market,market,2000-08-12,1
us prices slow down,stimulus,2000-08-12,1
mr big at the even bigger bank,bankruptcy,2000-08-12,2
madonna is a real rocco star as her new baby born - in us,stimulus,2000-08-12,3
us cinema investors watch a horror story unfold,stimulus,2000-08-12,2
humanity's debt to mice,debtstudent,2000-08-12,2
mont st michel shuts up shop to 'tacky' tourists,stock,2000-08-13,2
mont st michel shuts up shop to 'tacky' tourists,debtstudent,2000-08-13,2
mont st michel shuts up shop to 'tacky' tourists,stimulus,2000-08-13,2
mont st michel shuts up shop to 'tacky' tourists,stock,2000-08-13,2
glasgow's gang lords wage war to the last man,manufacture,2000-08-13,2
stockwatch,stock,2000-08-13,2
stockwatch,stock,2000-08-13,2
heard the one about the comedian who became a laughing stock?,stock,2000-08-13,3
heard the one about the comedian who became a laughing stock?,stock,2000-08-13,3
on the market,market,2000-08-13,2
on the market,market,2000-08-13,2
saha makes his mark,market,2000-08-13,3
saha makes his mark,market,2000-08-13,3
taxi ride to a  past life,tax,2000-08-13,2
sainsbury adds cars to its supermarket shelves,market,2000-08-14,2
sainsbury adds cars to its supermarket shelves,market,2000-08-14,2
