headlines,terms,dates,scores
manufacturing's facts make global sense,global,2000-08-07,2
fly the filthy skies. but tax the fuel,fuel,2000-08-07,2
bid for drinks arm of seagram,warming,2000-08-07,2
war on extremists turns into muddle,warming,2000-08-07,2
casualties of globalism,global,2000-08-08,2
net firms strike $7bn wap deal,deal,2000-08-09,2
lady young takes over environment watchdog,environment,2000-08-10,2
flying kites on fuel tax,fuel,2000-08-11,2
greenpeace to challenge legality of gm crop trials,green,2000-08-12,2
a green man in a grey world,green,2000-08-13,2
africa is loser in global digital divide,global,2000-08-14,1
magazine deal threatens newspapers,deal,2000-08-14,1
aiming off over kosovo,warming,2000-08-15,2
changing the face of fish farming,warming,2000-08-16,2
greenhouse build-up worst for 20m years,green,2000-08-17,1
merger proving mission impossible,fossil,2000-08-18,1
li deal dashes c&w hope of £5bn to spend,deal,2000-08-18,2
sweatshop v corporation,environment,2000-08-19,2
prescott unveils green manifesto,green,2000-08-19,2
women outstrip men as victims of smoking,environment,2000-08-22,2
job loss fears as harland and wolff faces cash crisis,job,2000-08-23,1
coalfield town switches to green fuel,coal,2000-08-23,2
coalfield town switches to green fuel,green,2000-08-23,2
coalfield town switches to green fuel,fuel,2000-08-23,2
fo report backs exiled islanders' fight with uk,fossil,2000-08-24,2
the mending of men,environment,2000-08-24,2
rovers return to low tax and jobs aplenty,job,2000-08-26,1
welsh tories balk at clerk's salary,global,2000-08-26,2
welsh tories balk at clerk's salary,global,2000-08-26,2
us deals blow to cocaine trade as 25 tonnes seized,deal,2000-08-27,1
local museums facing a slow death by a thousand budget cuts,coal,2000-08-29,1
'killer mouse' warning on arctic islands,warming,2000-08-29,2
tbwa and hakuhodo unveil global joint-venture for nissan,global,2000-08-30,2
hopeful dance with destiny,fuel,2000-08-30,3
how greenspan would manage euro,green,2000-08-30,2
warming threat to many species,warming,2000-08-31,2
advertising industry rides wave of global consolidation,global,2000-09-01,2
are you a model candidate: a 2:1 who's fun?,deal,2000-09-02,3
"imf is a feudal fossil, says report",deal,2000-09-04,2
"imf is a feudal fossil, says report",fossil,2000-09-04,2
more ethical dilemmas,coal,2000-09-05,2
"faster, higher, greener",green,2000-09-06,3
m&s reveals e-commerce deals,deal,2000-09-06,2
bcom3 plans global agency network,global,2000-09-06,2
"dump n-waste on local tips, says watchdog",coal,2000-09-06,1
