headlines,terms,dates,scores
us elections: obama proposes rebate for consumers dealing with high fuel costs,cost,2008-08-04,2
guardian daily podcast: the cost of educating teenagers,cost,2008-08-04,2
energy: drax profits halve as uk's largest source of co2 pays price for soaring cost of carbon credits,cost,2008-08-05,3
insurance: l&g tops forecasts and plans to expand abroad,insurance,2008-08-05,3
drax profits dented by rising cost of carbon credits,preexisting,2008-08-05,3
drax profits dented by rising cost of carbon credits,cost,2008-08-05,3
barclays sells life insurance portfolio,insurance,2008-08-05,2
insurance: standard life profits up 51% after reinsuring annuity risk,insurance,2008-08-06,2
why a wii could be good for your health,healthcare,2008-08-06,2
soaring cost of food fuels shop price inflation,cost,2008-08-06,2
antibiotics to be available without prescription,prescription,2008-08-06,2
this id card plan will require a monster of a system,medicaid,2008-08-06,2
why we cannot afford a windfall tax,affordable,2008-08-07,1
"olympics: us network nbc plans 3,600 hours of olympic coverage",coverage,2008-08-07,2
nice has got this prescription wrong,prescription,2008-08-07,1
redknapp and ferguson sitting tight but change is in the air,preexisting,2008-08-08,2
olympics: 'what happened has cost frankie gavin a million pounds',cost,2008-08-08,2
costs could fall on children if parents become an age-old problem,cost,2008-08-09,1
there's a cool £3bn on offer to insulate you from fuel costs,cost,2008-08-09,2
itv companies in battle over cost of shared content,cost,2008-08-09,2
we need a debate on healthcare rationing,healthcare,2008-08-11,2
rape victims told alcohol consumption may cost them compensation,cost,2008-08-11,2
china faked footprints of fire coverage in olympics opening ceremony,coverage,2008-08-11,1
ringfence women's sports coverage,coverage,2008-08-12,2
banks: rogue traders cost credit suisse £5.6m fine,cost,2008-08-13,2
just following procedure - that's the mantra of cost-cutting britain,cost,2008-08-13,2
sichuan quake: china's earthquake reconstruction to cost $150bn,cost,2008-08-14,2
complaints drive bbc to repeat olympics opening ceremony coverage,coverage,2008-08-14,1
olympics: nbc hails multimedia 'phenomenon' in games coverage,coverage,2008-08-14,2
itv news scoops emmy nomination for zimbabwe coverage,coverage,2008-08-14,2
the 21 edicts of chinese olympic coverage,coverage,2008-08-15,2
free travel insurance? whatever happened to the blank cassettes?,insurance,2008-08-16,2
sunderland v liverpool - as it happened,coverage,2008-08-16,2
remember healthcare?,healthcare,2008-08-18,2
water: the hidden cost of your food and drink,cost,2008-08-19,2
ps3 has cost sony more than it made from ps2,cost,2008-08-19,2
"the bbc's olympics coverage: gold, silver, bronze or something else?",coverage,2008-08-19,2
bbc olympic coverage: too much showbiz chatshow?,coverage,2008-08-21,2
insurance for our planet,insurance,2008-08-21,3
edinburgh tv festival 2008: more 4 wants to be 'the place' for us election coverage,coverage,2008-08-22,2
"jamie oliver: school series cost me £350,000",cost,2008-08-22,2
"life may be littered with risks, but it's still possible to bin some insurance",insurance,2008-08-23,2
cost fears threaten c4's digital radio venture,cost,2008-08-23,2
olympics: doctor brabants planning a repeat prescription in 2012,prescription,2008-08-23,2
northern rock could cost £1.28bn,cost,2008-08-24,2
"edinburgh tv festival 2008: prince harry coverage used by taliban as propaganda, claims panellist",coverage,2008-08-24,1
fsa should act on product insurance,insurance,2008-08-25,2
media: english civil war drama to be filmed in africa,medicare,2008-08-25,1
media: english civil war drama to be filmed in africa,medicaid,2008-08-25,1
bbc denies interference in al-qaida coverage,coverage,2008-08-27,2
phones: ofcom calls for cooperation to plug gaps in mobile coverage,coverage,2008-08-28,2
