headline,date,score
us election 2012: romney and obama avoid the climate change elephant,2012-08-24,1
romney jets in to tampa to receive official nomination for president,2012-08-28,2
think again. in a few months it could be president romney,2012-08-31,2
"romney election triumph would sink us reputation in europe, poll finds",2012-09-11,3
mitt romney's 47% gaffe makes him 100% unsuitable to be president,2012-09-18,2
us election campaign: mitt romney unzipped,2012-09-19,2
barack obama tells mitt romney: the president works for everyone - video,2012-09-19,1
"if mitt romney won the debate, will he win the election?",2012-10-04,2
mitt romney and barack obama's election campaign blunders - video,2012-10-05,2
romney declines offer to appear on nickelodeon's election special,2012-10-09,2
us election 2012: bill clinton attacks mitt romney's $5tn tax cut – video,2012-10-16,2
obama v romney: children weigh in on the 2012 election,2012-10-19,2
republicans dare to believe in president mitt romney,2012-10-20,2
obama and romney in virtual tie as marathon election enters final sprint,2012-10-21,3
politics weekly podcast: barack obama v mitt romney - us election preview,2012-10-23,2
'i agree with the president': romney tries to land punches while concurring,2012-10-23,1
obama calls romney a 'bullshitter' –  the election just got a whole lot coarser,2012-10-25,2
obama or romney? five scenarios that could affect the outcome of the election,2012-11-02,2
obama and romney race for the finish as election day nears – us politics live,2012-11-04,2
new york daily news endorses mitt romney for president,2012-11-04,2
barack obama and mitt romney make final election push,2012-11-04,3
us election: obama and romney enter last hours of campaign - video,2012-11-05,2
election day: us voters choose between obama and romney – as it happened,2012-11-06,2
team romney: election night playlist,2012-11-06,2
obama and romney make final pitch as voting starts in us election - video,2012-11-06,2
obama and romney end final campaign push ahead of election day – us politics live,2012-11-06,2
