headline,date,score
brazil's message to the world: our president is wrong about coronavirus,2020-04-02,1
tiger king's joe exotic suggests brad pitt or david spade should play him on screen,2020-04-02,2
'over our heads in chaos': wisconsin on edge of election fiasco amid pandemic,2020-04-03,1
joe diffie obituary,2020-04-03,2
riba refers 'serious incident' involving its president to charity commission,2020-04-03,2
joe rogan would 'rather vote for trump than biden' after endorsing sanders,2020-04-04,2
vanessa bryant says husband kobe's hall of fame election is 'incredible',2020-04-04,3
the us presidential election is frozen in time – can it survive?,2020-04-04,2
keir starmer wins labour leadership election,2020-04-04,2
‘i’ve had to sleep with the entire legal team’: joe lycett on making tv's most risk-taking comedy,2020-04-04,1
fabio capello: 'i asked the players – joe hart or calamity james?',2020-04-04,2
policy backflip in lead-up to queensland election puts youth in detention centres at risk of coronavirus,2020-04-05,1
"better to play behind closed doors than not at all, says uefa president",2020-04-05,1
coronavirus: biden says he’ll wear mask in public after trump says he won't,2020-04-05,1
wisconsin voters go to the polls in controversial election,2020-04-07,2
joe ashton obituary,2020-04-07,2
‘i know what's at stake’: can biden win over skeptical sanders supporters?,2020-04-07,3
president nowhere to be seen as nicaragua shuns coronavirus curbs,2020-04-08,2
colbert interviews bernie sanders: 'i hope to be able to work with joe',2020-04-09,3
biden finally has an open field. now he faces a deeply uncertain election,2020-04-09,2
'stop waiting for putin': russian president takes backseat in crisis,2020-04-09,2
new zealand election: ardern resists calls for delay amid covid-19 outbreak,2020-04-09,2
joe lycett's got your back review – will the real hugo boss please stand up!,2020-04-10,2
barr claims trump-russia investigation was fbi attempt to 'sabotage' the president,2020-04-10,2
"tv tonight: joe lycett, comic and consumer champ, is back on the case",2020-04-10,2
trump v the states: how the president is remaking the government in his image,2020-04-11,2
yearning for obama? ex-president could soon be back to bat for biden,2020-04-12,2
south korea votes in first national election of coronavirus era,2020-04-13,2
israeli president allows more time for parties' effort to form coalition,2020-04-13,2
bernie sanders endorses joe biden for president,2020-04-13,2
iran's president has left nation open to second covid-19 wave – critics,2020-04-13,2
"morning mail: worst year since great depression, app to track virus, obama endorses biden",2020-04-14,2
obama endorses biden for president in attempt to unite democratic party,2020-04-14,2
joe biden needs to do a lot more if he wants to win over sanders voters,2020-04-14,3
trump can't cancel the election – but he will try to stop people voting,2020-04-14,1
bill beaumont pledges world rugby review in chairman re-election bid,2020-04-14,2
south korea's first feminist party holds out hope of election miracle,2020-04-14,1
biden wins in wisconsin as a liberal supreme court challenger stages upset,2020-04-14,3
elizabeth warren endorses joe biden for president as democrats unite,2020-04-15,2
sanders warns his loyalists it would be ‘irresponsible’ not to support biden,2020-04-15,1
wales' joe morrell: 'i've watched every verratti video on youtube',2020-04-15,2
brazil president fires health minister over covid-19 stand-off – as it happened,2020-04-16,2
"tributes to pioneering climber joe brown, who has died aged 89",2020-04-16,2
barclays ceo avoids vote against re-election over epstein ties,2020-04-16,2
comedian formerly known as hugo boss changes name back to joe lycett,2020-04-16,2
south korea's ruling party wins election landslide amid coronavirus outbreak,2020-04-16,2
joe biden takes presidential campaign online amid virus lockdown,2020-04-17,2
biden courts ocasio-cortez – but will he go bold enough to win her support?,2020-04-19,2
joe cole criticises 'disrespectful' fabio capello over david james jibe,2020-04-20,2
brazilian president jair bolsonaro denounced for joining pro-dictatorship rally,2020-04-20,2
trad turkeys of world rugby unlikely to vote for christmas on election day,2020-04-21,2
labour has it all to play for at the next election,2020-04-21,2
joe brown obituary,2020-04-21,2
andrew cuomo talks to trevor noah: 'the president doesn't like me',2020-04-23,2
from joe wicks to noel fielding: grading our celebrity teachers,2020-04-23,2
nfl 2020 mock draft: joe burrow is no1 but who are the sleeper picks?,2020-04-23,2
joe biden warns that donald trump may try to delay november election,2020-04-24,2
'he's mr scrooge': mexican president unveils severe cuts amid coronavirus,2020-04-24,2
pro-china kiribati president loses majority over switch from taiwan,2020-04-24,2
trump attack on biden highlights president's own past dealings with china,2020-04-25,1
michigan conservatives hail protest success – and set sights on trump's re-election,2020-04-25,3
"premier league completion 'probably not realistic', says dutch fa president",2020-04-25,1
biden searches for his own 'biden' – a running mate with chemistry,2020-04-26,2
donald trump set to fall back on xenophobia with re-election plan in tatters,2020-04-26,2
trump plots new election strategy: tie biden to china – and attack them both,2020-04-27,2
"move over culture wars, new zealand's post-virus election will be about economics",2020-04-28,1
"democrats not confident 2020 us election will be fair, survey finds",2020-04-28,1
who is justin amash and does he have a chance in the us presidential election?,2020-04-29,2
wales provide boost to bill beaumont's re-election bid with world rugby,2020-04-29,2
trump v fox news: why the president is furious at the conservative network,2020-04-29,2
justin amash's libertarian candidacy may act as a spoiler – but that could help biden,2020-04-30,1
haiti fa president accused of sexually abusing young female footballers,2020-04-30,2
trump claims china will 'do anything' to stop his re-election as coronavirus row escalates,2020-04-30,2
pressure mounts on joe biden to address sexual assault claim,2020-04-30,1
joe biden denies sexual assault allegation from former staffer tara reade,2020-05-01,1
joe biden to break his silence on tara reade's sexual assault claim friday,2020-05-01,1
egyptian film-maker who worked on video mocking president dies in jail,2020-05-02,1
joe biden wades into equal pay dispute between uswnt and us soccer,2020-05-02,2
world rugby chairman bill beaumont vows to deliver change after re-election,2020-05-02,3
who is tara reade and what are her allegations against joe biden?,2020-05-02,2
democrats' downplaying of the biden allegations will damage #metoo,2020-05-02,2
benefit of the doubt? joe biden – and allies – face key questions over sexual assault claim,2020-05-02,2
brassic: joe gilgun’s drama is ocean’s eleven by way of emmerdale – only better,2020-05-02,1
senate rejects joe biden's request to search for records on tara reade,2020-05-04,2
nicolas cage to play joe exotic in tiger king miniseries,2020-05-04,2
the guardian view on poland's presidential election: call it off,2020-05-05,2
trump gives up on virus fight to focus on economic recovery – and re-election,2020-05-05,2
seth meyers: 'this is what you get when you make a tv star president',2020-05-05,2
joe marler likely to be available for england when games resume,2020-05-06,2
ex-french president valéry giscard d’estaing accused of sexual harassment,2020-05-07,2
"trump's 'juggernaut' re-election bid like the death star, campaign boss boasts",2020-05-07,2
joe root says england are ready to go into isolation to save summer tests,2020-05-07,2
free the students: why there’s a push to make election day a campus holiday,2020-05-07,2
"bill beaumont re-election risks global rift, but where would the south go?",2020-05-07,2
"welcome to william barr's america, where the truth makes way for the president",2020-05-08,2
australia we're full party or an independent? who will win the eden-monaro by-election?,2020-05-08,2
biden accuser tara reade calls for him to drop out of presidential race,2020-05-08,2
biden sexual assault accuser tara reade calls on him to drop out of 2020 race – as it happened,2020-05-08,1
'it happened all at once': tara reade details assault claim against joe biden in megyn kelly interview,2020-05-09,1
french president persuaded to give approval to resumption of racing,2020-05-09,2
biden sexual assault claim divides democrats as republicans pounce,2020-05-10,2
veep impact: battle to be joe biden's running mate plays out in public,2020-05-10,2
poland holds ghost election with 0% turnout,2020-05-11,2
'it's all rigged': trump foreshadows how he could undermine presidential election,2020-05-12,2
joe cornish: ‘i’d be very interested in directing a biggleton feature film’,2020-05-12,2
california special election: republicans take back katie hill’s house seat,2020-05-13,2
"gymnast joe fraser: 'i would cry for a week, then things would come together'",2020-05-14,2
'obamagate': trump seeks to draw biden into conspiracy theory,2020-05-14,2
"lib dem election campaign a 'car crash', says party's review",2020-05-15,1
the fight is on for progressives to push biden to the left. they might just win,2020-05-15,1
trump campaign focuses fire on biden as pandemic undermines strategy,2020-05-15,1
what if hillary had become president? curtis sittenfeld on rewriting clinton's life,2020-05-15,2
sanders says his supporters will vote for biden but he needs to court them,2020-05-17,2
could 'rogue electors' tilt the balance of the us election?,2020-05-17,2
atlanta mayor keisha lance bottoms on the arbery killing and biden's vice-president pick,2020-05-17,2
trump sons provoke outrage with baseless attacks on biden and lockdown,2020-05-18,2
tanzania's president shrugs off covid-19 risk after sending fruit for 'tests',2020-05-19,1
ukraine to investigate leaked calls between joe biden and ex-president,2020-05-20,2
trump threatens to cut states' election funding over false claims of voter fraud,2020-05-20,2
campaign wars: trump rallies base while biden tries to broaden his,2020-05-20,2
china strongly objects to pompeo's praise for taiwan president,2020-05-20,2
president calls negative hydroxychloroquine study 'a trump enemy statement' – as it happened,2020-05-20,2
alleged victims of haiti fa president say they have received death threats,2020-05-21,1
suriname election: can pandemic help outlaw leader get away with murder?,2020-05-21,1
kellogg’s pulls pringles ad from joe wicks ‘pe with joe’ youtube show,2020-05-21,2
biden apologizes for saying voters who back trump 'ain't black',2020-05-22,2
joe biden accuser tara reade let go by lawyer,2020-05-22,2
