headline,date,score
trump considers block on crude oil imports to prop up us market,2020-04-22,2
global markets recoil as trump threatens us-china trade war,2020-05-01,2
trump suggests more deaths necessary price to reopen economy – as it happened,2020-05-06,1
supreme court grills trump lawyers over president's unreleased tax returns,2020-05-12,2
global report: trump threat to cut trade ties over covid-19 branded 'lunacy' by chinese media,2020-05-15,1
morrison urged to confront trump over concerns us-china trade deal is hurting australia,2020-05-24,3
'revolting': trump condemned for saying george floyd is praising us economy,2020-06-05,1
"it's the economy, stupid – but will trump or biden win the argument?",2020-06-12,1
trump held off china sanctions over xinjiang to protect trade deal,2020-06-22,1
"the guardian view on china, trump and the rest: might, right and trade bait",2020-06-23,2
white house scrambles to deny trump trade adviser's claim that china deal is 'over',2020-06-23,2
trump administration sent $1.4bn in stimulus checks to dead people,2020-06-25,1
