headline,date,score
coronavirus: global cases pass 1.2m as trump warns us of worse to come,2020-04-05,2
"us briefing: global poverty warning, trump agenda, misinformation",2020-04-09,2
global markets recoil as trump threatens us-china trade war,2020-05-01,2
fossil fuel firms linked to trump get millions in coronavirus small business aid,2020-05-01,3
"global report: deaths are price of reopening, says trump, as china warns risks remain",2020-05-07,1
"global report: trump says covid-19 will 'go away without vaccine', expects us death toll to top 95,000",2020-05-09,1
trump is making america an obstacle in the global fight against covid-19,2020-05-12,2
global report: trump threat to cut trade ties over covid-19 branded 'lunacy' by chinese media,2020-05-15,1
global report: trump threatens to pull out of who over 'failed response' to pandemic,2020-05-19,1
he opposed public lands and wildlife protections. trump gave him a top environment job,2020-05-20,3
global report: brazil's deadliest day as trump calls us cases a 'badge of honour',2020-05-20,1
global report: trump silent on us death toll as south korea sees new covid-19 rise,2020-05-28,1
global report: coronavirus cases pass 6 million as donald trump postpones g7,2020-05-31,1
"trump orders agencies cut environment reviews, citing 'economic emergency'",2020-06-04,2
global report: fauci voices covid-19 fears for trump rally as são paulo faces cemetery crisis,2020-06-13,1
global report: trump says he ordered coronavirus testing to 'slow down',2020-06-21,1
