headline,date,score
'trump is killing his own supporters' – even white house insiders know it,2020-04-05,2
briefing or rally? trump shifts to campaign mode as he rails against the media,2020-04-19,2
trump to host cuomo at white house after conflict over supplies – as it happened,2020-04-21,2
"trump returns to white house briefing, subdued but no less shameful",2020-04-28,1
trump press secretary attacks china and who at first white house briefing,2020-05-01,2
coronavirus us live: trump hails senate return and says pelosi 'crazy' for not reopening house – as it happened,2020-05-02,2
white house blocks fauci testimony as trump welcomes senate's return,2020-05-02,3
justin amash laments 'partisan death spiral' but insists white house run won't help trump,2020-05-03,1
trump rails at 'loser types' as dissident republican ad gets under his skin,2020-05-05,1
trump reverses course and says white house coronavirus taskforce will stay,2020-05-06,2
"trump fumes as white house staffers test positive and death toll nears 80,000 – as it happened",2020-05-09,2
biden's lead over trump widens – but strain on his virtual campaign grows,2020-05-09,3
"coronavirus us live: trump 'spooked' by white house cases as death toll nears 80,000 – as it happened",2020-05-10,2
first thing: trump 'spooked' by white house covid-19 cases,2020-05-11,2
ex-trump campaign chair paul manafort released from prison to home confinement,2020-05-13,2
does the justice department work for the trump campaign now? barr thinks so,2020-05-15,2
trump campaign focuses fire on biden as pandemic undermines strategy,2020-05-15,1
the us senate voted to let trump spy on your search history. but all is not lost,2020-05-16,2
"trump is taking hydroxychloroquine, white house confirms",2020-05-19,2
campaign wars: trump rallies base while biden tries to broaden his,2020-05-20,2
trump threatens to move republican convention if north carolina won't allow packed arena,2020-05-25,1
trump campaign attempts to remove satirical cartoon from online retailer,2020-05-28,2
"george floyd: as protests rage across us, trump comments inflame tensions",2020-05-31,1
angry donald trump calls on governors to 'dominate' george floyd protests,2020-06-01,1
'he is a destroyer': how the george floyd protests left donald trump exposed,2020-06-01,1
trump fled to bunker as protests over george floyd raged outside white house,2020-06-01,2
a photo op as protests swirled: how trump came to walk to the church,2020-06-02,2
george floyd protests: can trump deploy federal troops on to the streets in the us?,2020-06-02,2
pentagon chief opposes trump threat to deploy military at protests,2020-06-03,2
trump hankers for roar of the crowd while biden takes campaign virtual,2020-06-04,2
civil rights groups sue trump and barr for use of teargas outside white house – as it happened,2020-06-05,2
new zealand minister says yes – trump is racist amid george floyd protests,2020-06-05,1
twitter disables trump campaign tribute to george floyd due to copyright complaint,2020-06-05,2
civil rights groups sue trump over assault on peaceful protesters near white house,2020-06-05,2
'trump is tearing apart america': how the world sees the us protests,2020-06-07,2
trump takes note as the far right lobbies for violent crackdown on peaceful protests,2020-06-07,3
trump reaches for nixon playbook after protests that have rocked america,2020-06-07,2
a week that shook a nation: anger burns as power of protests leaves trump exposed,2020-06-07,2
trump plans to resume election rallies despite warnings over large crowds,2020-06-08,2
donald trump aims tweets at nfl over protests to reopen anthem debate,2020-06-08,2
republican criticism of trump grows – but will it make a difference at the polls?,2020-06-09,2
trump campaign asks supporters to sign coronavirus waiver ahead of rally,2020-06-12,2
"melania trump used white house move to renegotiate prenup, book claims",2020-06-12,2
trump claims 'radical left' have 'taken over' seattle during policing protests – as it happened,2020-06-14,2
"pandemic, what pandemic? trump sees mass rallies as path to re-election",2020-06-14,2
"as virus cases rise in states where trump won, republican attitudes may shift",2020-06-15,2
trump gives poland's president duda pre-election boost with white house invite,2020-06-17,2
trump envoy brokers white house meeting for kosovo and serbia presidents,2020-06-17,2
why antiracism protests are achieving more progress under trump than obama,2020-06-18,3
white house defends bolton hiring as trump administration tries to block book,2020-06-19,2
trump faces pressure to reset campaign after tulsa rally caps gloomy week,2020-06-23,1
white house scrambles to deny trump trade adviser's claim that china deal is 'over',2020-06-23,2
'axis of adults': are the white house staff working together to keep trump in line?,2020-06-24,2
video appears to show trump campaign removing social-distancing stickers in tulsa,2020-06-27,2
trump campaign reportedly ordered removal of social-distancing stickers in tulsa – as it happened,2020-06-27,2
