,created_at,text,user_followers_count,retweet_count,favorite_count,hashtags
0,2016-12-29,Happy birthday to say you when I see you (here's a pretty sky photo),36,0,0,[]
7,2016-12-29,"I can smile, and its not. I have people that make me really happy and im really glad i have them in my life.",1376,0,0,[]
11,2016-12-29,luh HAHAHAHAHAHAHA,124,0,0,[]
16,2016-12-29,@Baelizean word?,3628,0,0,[]
17,2016-12-29,GURUS Invoke Lack Of Trust. We Are Here To Provide #trust and #success Together. Try Out Our FREE Trial https://t.co/o5jPBI31mL,2574,0,0,"[{'text': 'trust', 'indices': [51, 57]}, {'text': 'success', 'indices': [62, 70]}]"
23,2016-12-29,"Want to get astonished with the type of work we do. Visit our website https://t.co/6GxbY2Z1KY
#EADCosmos #SocialMedia #Digital #Marketing",21,0,0,"[{'text': 'EADCosmos', 'indices': [94, 104]}, {'text': 'SocialMedia', 'indices': [105, 117]}, {'text': 'Digital', 'indices': [118, 126]}, {'text': 'Marketing', 'indices': [127, 137]}]"
26,2016-12-29,The Introvert's Guide to Running a Meeting https://t.co/6B9ZnvD9lb via @hubspot #inbound #marketing https://t.co/TjZt3qPpUD,4891,0,0,"[{'text': 'inbound', 'indices': [80, 88]}, {'text': 'marketing', 'indices': [89, 99]}]"
27,2016-12-29,"Matthew 5:44 
But I say to you, Love your enemies and pray for those who persecute you,

#teamjesus https://t.co/SC9kb9ehvC",69048,0,0,"[{'text': 'teamjesus', 'indices': [89, 99]}]"
31,2016-12-29,"RT @syeddoha: #EsDeeDial a BDFONES watch, Yeah we have that too.",2,0,0,"[{'text': 'EsDeeDial', 'indices': [14, 24]}]"
35,2016-12-29,I posted a new photo to Facebook https://t.co/5F467kAo1u,3506,0,0,[]
42,2016-12-29,Great and promising bonanza participate amazing contest and win flipkart vouchers  #NewYearWith9Apps @9Appscom here https://t.co/CDpjAgE5ux,8202,0,0,"[{'text': 'NewYearWith9Apps', 'indices': [83, 100]}]"
45,2016-12-29,RT @norm: 2016 was the tin of cookies that turned out to be filled with sewing supplies.,640,0,0,[]
49,2016-12-29,"@ThatDudeMCFLY I just feel like you're trolling. Where do you get this plate, I'll even pay, I gotta see this, Imma get the Ckn doe",610,0,0,[]
56,2016-12-29,@NCMTRBL saan po tayo? *widens eyes*,31,0,0,[]
61,2016-12-29,RT @BrysonTlIIer: ruin my life baby,1025,0,0,[]
62,2016-12-29,@Vaannessac_ @KentleeChhim_ scoop me vannesa,873,0,0,[]
67,2016-12-29,@BARE4BRAYDEN Good 2 Kno where u stand,191,0,0,[]
69,2016-12-29,"RT @syeddoha: #EsDeeDial a BDFONES watch, Yeah we have that too.",12,0,0,"[{'text': 'EsDeeDial', 'indices': [14, 24]}]"
87,2016-12-29,Mood https://t.co/zftmGnR8ez,4953,0,0,[]
100,2016-12-29,"I have been on Twitter for 5 years, 10 months, 13 days (since 15 Feb 2011).
And you? https://t.co/4IjeEinbZD",1465,0,0,[]
106,2016-12-29,RT @TamrenMekhii: Ask and Confess https://t.co/fatkh9uN8h,823,0,0,[]
109,2016-12-29,@jaeeorwhatever #issafucknocusimheretostay,1528,0,0,"[{'text': 'issafucknocusimheretostay', 'indices': [16, 42]}]"
115,2016-12-29,#crossfit membership contract template concrete breaker hammer,23,0,0,"[{'text': 'crossfit', 'indices': [0, 9]}]"
116,2016-12-29,"RT @syeddoha: #EsDeeDial a BDFONES watch, Yeah we have that too.",0,0,0,"[{'text': 'EsDeeDial', 'indices': [14, 24]}]"
123,2016-12-29,edi inyo na pera ko,1780,0,0,[]
125,2016-12-29,#NP Ethology @1ethology - 1. Psalm Of Worship | #HearFDR | https://t.co/zUf2bFAJo7,18479,0,0,"[{'text': 'NP', 'indices': [0, 3]}, {'text': 'HearFDR', 'indices': [48, 56]}]"
128,2016-12-29,Southwest Supervisor responding to '13 - Prowler' at 700 blk Cedar Hill Ave | Beat 413 | https://t.co/HhZh2xrY9j | 01:57,1283,0,0,[]
131,2016-12-29,I added a video to a @YouTube playlist https://t.co/dfuttcAzmw I Will Possess Your Heart (Album Version video),16,0,0,[]
136,2016-12-29,RT @princessjaaaa: I wanna be someone's #1 priority,882,0,0,[]
138,2016-12-29,#TeamEXO #SOOMPIAWARDS HAHAHAHAHHAHAAHA,50,0,0,"[{'text': 'TeamEXO', 'indices': [0, 8]}, {'text': 'SOOMPIAWARDS', 'indices': [9, 22]}]"
148,2016-12-29,Worldwide Fav Artist Award #TeamGOT7 https://t.co/4E0hum6hvR,61,0,0,"[{'text': 'TeamGOT7', 'indices': [27, 36]}]"
149,2016-12-29,https://t.co/43HjbJlZJY,329,0,0,[]
153,2016-12-29,Drone Explores Beautiful Ice Caves #quadcopters https://t.co/1lPiOxY0jr,23,0,0,"[{'text': 'quadcopters', 'indices': [35, 47]}]"
158,2016-12-29,You Don't Know x Tank x Wale,8690,0,0,[]
159,2016-12-29,RT @Wacky_guy: We define Love in the way we experience it !!,7637,0,0,[]
171,2016-12-29,Canola oil is very beneficial when it comes to warding off skin problems like eczema and acne that are persistent... https://t.co/BVWm0Xoe9D,721,0,0,[]
175,2016-12-29,"Dok, ini hasil #Foto rontgen tulang saya yg patah Tenang, Pak Ntar sy perbaiki pake photoshop, 5 mnt beres koq O_o #MenarikBanget",10778,0,0,"[{'text': 'Foto', 'indices': [15, 20]}, {'text': 'MenarikBanget', 'indices': [115, 129]}]"
182,2016-12-29,"RT @syeddoha: #EsDeeDial a BDFONES watch, Yeah we have that too.",0,0,0,"[{'text': 'EsDeeDial', 'indices': [14, 24]}]"
185,2016-12-29,@frankanthonyy_ I'm pretty darn cute dude,749,0,0,[]
189,2016-12-29,"@mandirifiesta A. Uang tunai di handphone, mandiri saja",424,0,0,[]
197,2016-12-29,Drone Explores Beautiful Ice Caves #quadcopters https://t.co/1lPiOxY0jr,23,0,0,"[{'text': 'quadcopters', 'indices': [35, 47]}]"
204,2016-12-29,I'll never get tired of laughing with u #TeamGOT7,39,0,0,"[{'text': 'TeamGOT7', 'indices': [40, 49]}]"
206,2016-12-29,RT @12345enamul: https://t.co/hbKFagwU9C,2767,0,0,[]
211,2016-12-29,RT @Stevoptweets: No one truly cares for me.,262,0,0,[]
221,2016-12-29,RT @mileysbae: 3. ok this had to have been the FUNNIEST video of 2016 https://t.co/2qzXxmgP4M,862,0,0,[]
223,2016-12-29,RT @lsolatedVocaIs: This is beautiful https://t.co/9h8zraxqaM,1036,0,0,[]
224,2016-12-29,Si boy dakot hahahahaha #TeamGOT7 https://t.co/EvuyD4wE4j,209,0,0,"[{'text': 'TeamGOT7', 'indices': [24, 33]}]"
228,2016-12-29,"If you don't pass your values on to your kids, someone else will. - @FSonnenberg #quote via @LollyDaskal",1313,0,0,"[{'text': 'quote', 'indices': [81, 87]}]"
230,2016-12-29,@alyatul_husna Kenapa esok? bukan 31kaa lol,98,0,0,[]
231,2016-12-29,@Trmpwin 2 pairs of idle hands doing the devils' work...,4647,0,0,[]
239,2016-12-29,that fruit shit is fuckin aggravating..,2130,0,0,[]
241,2016-12-29,RT @idolsinteract: rania + lovelyz https://t.co/msw5CUHU7D,1387,0,0,[]
245,2016-12-29,"Oh, then that system supports only a few big planes or that too is not possible in present cindition. https://t.co/02KcB3xABW",1180,0,0,[]
260,2016-12-29,RT @AhmedNarysh: live: Social category ga hadhaafa huri flat thakeh Gaakoshi adhi Arabiyya akee: @MMuizzu #HousingMinistry,232,0,0,"[{'text': 'HousingMinistry', 'indices': [106, 122]}]"
261,2016-12-29,RT @420CODGOD: Here's the pics I got from the show #walmartHC http://t.co/aZ4qnvUYm0,254,0,0,"[{'text': 'walmartHC', 'indices': [51, 61]}]"
265,2016-12-29,Build a file uploader on your Raspberry Pi so you can add files from anywhere: https://t.co/aqsoeB30uI https://t.co/r1uLQt1fqa,3640211,0,0,[]
283,2016-12-29,i got those big ol kinfirm feels for chirrut before i even saw the movie i saw the asian dude in the trailer and i was like. me. me,357,0,0,[]
284,2016-12-29,RT @sarahjeong: like so much of this tragedy would have been prevented with better women's health coverage,843,0,0,[]
