,Unnamed: 0,Unnamed: 0.1,created_at,text,id,user_id,user_loc,user_followers,user_lang,user_time_zone,retweet_count,fav_count,scores
0,0,0,Wed May 27 23:59:59 +0000 2020,RT @seanhannity: BIDEN: ‘We Declared Our Independence on December 7th… It’s Not Just D-Day… Anyway…’ https://t.co/pW7p0qVi6d,1265794916124409863,1009981565882036224,,482,,,0,0,1
1,1,1,Wed May 27 23:59:59 +0000 2020,RT @RealDealAxelrod: We know who Biden owns....,1265794915952459780,1246570301644824576,"New Jersey, USA",566,,,0,0,2
2,2,2,Wed May 27 23:59:59 +0000 2020,@skb_sara @onlyher71739960 @JoeBiden @WHO @PandaGetsHangry @AJLovesUSA @MarkTJay3 @CB618444 @ImabitcSumtimes… https://t.co/xIpAe6l3Ri,1265794915725987840,1166817860364177408,,8205,,,5,11,2
3,3,3,Wed May 27 23:59:59 +0000 2020,RT @Gaia_Eternal: @FlyThaiMMA why wouldn’t the Biden team tell us what sound that was?,1265794915428163586,1216936437599363078,"Pittsburgh, PA",1901,,,0,0,2
4,4,4,Wed May 27 23:59:59 +0000 2020,"RT @RyanAFournier: Why isn’t Twitter fact-checking the endless “Russian Collusion” bullshit spewed by 

Adam Schiff

Nancy Pelosi

Joe Bide…",1265794914006323202,98150731,USA,18671,,,0,0,2
5,5,5,Wed May 27 23:59:59 +0000 2020,"RT @DeeTwoCents: .⁦@K_JeanPierre⁩, Biden's new senior advisor, is ready for November!!! I am proud to know this rockstar #WokeAF  https://t…",1265794913721081858,2416206530,,1845,,,0,0,2
6,6,6,Wed May 27 23:59:59 +0000 2020,RT @UsnDav: @GreggJarrett We need to just have everybody keep asking Hiden Biden- when did you know about the Flynn operation to launch the…,1265794913720991746,3950832315,,475,,,0,0,2
7,7,7,Wed May 27 23:59:59 +0000 2020,"RT @svdate: Trump had the laziest campaign schedule of them all, but he called Jeb ""low energy.""

His charity was basically a slush fund, b…",1265794913603551233,448180324,"Cincinnati, OH",237,,,0,0,1
8,8,8,Wed May 27 23:59:59 +0000 2020,"RT @lil_dumbass: Is Joe Biden the gamer candidate? Racist, misogynist, incapable of looking after himself, probably shits his pants, skinny…",1265794912135417856,972708845997899783,"Modesto, CA",20,,,0,0,2
9,9,9,Wed May 27 23:59:58 +0000 2020,@CNN @StCollinson Please show us one moment where Trump potentially put another citizen at risk because he didn’t h… https://t.co/jgRvOVODdU,1265794911237963777,2351817908,,18,,,0,0,2
10,10,10,Wed May 27 23:59:58 +0000 2020,"RT @matthewstoller: You'll be happy to know that Tara McGowan is being quoted as an expert in digital strategy, with no mention of her ruin…",1265794911200133123,76837768,,157059,,,0,0,3
11,11,11,Wed May 27 23:59:58 +0000 2020,"RT @RyanAFournier: Why isn’t Twitter fact-checking the endless “Russian Collusion” bullshit spewed by 

Adam Schiff

Nancy Pelosi

Joe Bide…",1265794909774249985,1079508431961292800,,5,,,0,0,2
12,12,12,Wed May 27 23:59:58 +0000 2020,RT @omega_sista: @MMOLiberty @toddeherman @JayInslee Jay is auditioning for a role in Biden's cabinet (in the event Biden is elected).  He…,1265794909358837761,705272250073747456,"Seattle, WA",1557,,,0,0,2
13,13,13,Wed May 27 23:59:57 +0000 2020,The Embarrassing Secret Of Joe Biden’s Basement Campaign https://t.co/6H3lxQgPeL,1265794907215626245,2812790002,"New York, NY",166,,,0,0,2
14,14,14,Wed May 27 23:59:57 +0000 2020,"RT @iamwandasykes: Oh! Hey Chachi.  Apologies, I didn’t see you.  I’ll keep it short.  Joe Biden didn’t say, “Then you ain’t an ape.” 

Wel…",1265794906074894336,137466183,"Kansas, USA",624,,,0,0,2
15,15,15,Wed May 27 23:59:57 +0000 2020,"RT @SaraCarterDC: What did @JoeBiden say in this video with @CNBC? 

- ""I’m going to BEAT Joe Biden"" 

(or)

- ""I’m going to BE Joe Biden""…",1265794905378521088,3219870406,USA,37,,,0,0,2
16,16,16,Wed May 27 23:59:56 +0000 2020,RT @Bill_Maxwell_: I want to follow everyone who is voting for Joe Biden. Follow me and pass this along please.,1265794902337650689,2589815030,"Ohatchee, AL",1957,,,0,0,2
17,17,17,Wed May 27 23:59:56 +0000 2020,"@benstringer__ Conservative financially that is, Biden if he was over here would be a Tory more than likely for exa… https://t.co/vQMzS2h4w5",1265794901863731200,1265368357743837184,"Wigan, Greater Manchester",979,,,0,1,2
18,18,18,Wed May 27 23:59:56 +0000 2020,@washingtonpost Will @realDonaldTrump  go ahead and call out these warriors for wearing masks like Biden's? These a… https://t.co/wcGSpi7uNp,1265794901750341632,24839495,United States,971,,,19,37,2
19,19,19,Wed May 27 23:59:56 +0000 2020,"RT @HardballChris: I recall the courage of a 29 year-old who took on an unbeatable US senator, who, when his wife and daughter were killed,…",1265794900982980608,19242115,"Spencer, IN, US",82,,,0,0,3
20,20,20,Wed May 27 23:59:56 +0000 2020,"RT @GOPChairwoman: Joe Biden may have forgotten some of the scandals of the Obama/Biden administration.
 
But the American people have not.…",1265794900316086272,346029723,,29,,,0,0,1
