created_at,text,id,user_id,user_loc,user_followers,user_lang,user_time_zone,retweet_count,fav_count,scores
Wed May 27 23:59:59 +0000 2020,RT @NFrechen: Are we sure Anderson Cooper doesn't dress up as Kathy Griffin so he can threaten Trump?😄🤣 https://t.co/ekf7ckLUCd,1265794915960848384,1089596144295071744,,620,,,0,0,1
Wed May 27 23:59:59 +0000 2020,Hollywood Liberals Gleefully Gloat After Twitter 'Fact-Checks' President Trump On Vote By Mail - 'Welcome To Accoun… https://t.co/YizNhWinWv,1265794915809873922,1494835716,Wisconsin,127542,,,0,1,3
Wed May 27 23:59:59 +0000 2020,"RT @prageru: .@Facebook just said @Twitter shouldn't be the ""arbiter of truth online"" by fact-checking Trump's tweets.

However, Facebook j…",1265794915688054784,790993500602896384,The United States of America,4664,,,0,0,1
Wed May 27 23:59:59 +0000 2020,"RT @Stonekettle: I order you all to like all of my Tweets. Also, make the heart thing for likes a little Trump! And everybody has to see my…",1265794915621122050,14346762,Western Massachuetts,1272,,,0,0,2
Wed May 27 23:59:59 +0000 2020,@realDonaldTrump Trump is 100% Twitter is not content creator they are a forum and enjoy not getting sued but they will now.,1265794915499474951,44392789,"United States, Michigan",47,,,0,0,1
Wed May 27 23:59:59 +0000 2020,"RT @CaslerNoel: She will fit right in. I can see what she will be bringing to the campaign, my only question is grams or ounces? In related…",1265794915478487040,743356135,,1032,,,0,0,2
Wed May 27 23:59:59 +0000 2020,"RT @peterbakernyt: White House says Trump will sign an executive order ""pertaining to social media"" tomorrow, but provides no details on wh…",1265794915469946880,822567864259510272,"Boulder, CO",48639,,,0,0,1
Wed May 27 23:59:59 +0000 2020,@dcexaminer @kathygriffin @realDonaldTrump Trump told people to ingest bleach. He told them to take a medicine that has killed people.,1265794915386249226,92645190,Midwest,2595,,,0,0,2
Wed May 27 23:59:59 +0000 2020,RT @Avi_Bueno: lol Trump is going to move to Gab and complete the social media cycle that all of his imbecilic minions have after rage quit…,1265794915226857473,2949831028,"Gum Stump, Pa",4805,,,0,0,1
Wed May 27 23:59:59 +0000 2020,"RT @HadoTTV: @thebearablebull https://t.co/aMtfaq8U9t

ITS HAPPENING!!!!!! HOLY SHIT",1265794915172155392,1953257431,,1986,,,0,0,2
Wed May 27 23:59:59 +0000 2020,@imapeepels @maddow Trump signed a law ending the gag orders on Pharmacists that prevented them from sharing money-… https://t.co/ihhYqBquns,1265794915163869185,2408180965,,1576,,,0,0,1
Wed May 27 23:59:59 +0000 2020,"RT @robreiner: If truth mattered Trump would be banned from Twitter, he would have been convicted after his Impeachment and he would be sit…",1265794915142782976,335491520,,92,,,0,0,2
Wed May 27 23:59:59 +0000 2020,@bob_black1984 @ChuckRichter70 @DavidJHarrisJr @icecube @jack -but Twitter didn’t take down Trump’s accusation so t… https://t.co/oruAPZeveS,1265794915084242944,1059116575054270464,"Ohio, USA",374,,,0,0,2
Wed May 27 23:59:59 +0000 2020,RT @JoeBiden: Presidents are supposed to lead by example — and every day Donald Trump proves how incapable he is of doing that. https://t.c…,1265794915000180737,3437474410,Head up my ass,83,,,0,0,1
Wed May 27 23:59:59 +0000 2020,RT @JackPosobiec: BREAKING: President Trump to sign Executive Order on Social Media Censorship,1265794914807427073,286467155,Out There,11528,,,0,0,2
Wed May 27 23:59:59 +0000 2020,RT @pjweaver94: @rnlynn1958 @countken1 @realDonaldTrump @RichforGA @bluestein @TimMurtaugh Trump is our only hope I will follow back,1265794914761179143,1268383134,"Massachusetts, USA",32771,,,0,0,3
Wed May 27 23:59:59 +0000 2020,"RT @brycetache: When I think of Trump gone &amp; his party defeated, the relief I feel brings tears to my eyes.",1265794914706755590,1169317197799464961,"Vero Beach, FL",519,,,0,0,2
Wed May 27 23:59:59 +0000 2020,"RT @OregonDarryl: Trump votes by MAIL... and...
Kayleigh McEnany has voted by mail 11 times in 10 years. 

But YOU can't.
Got it? 

They're…",1265794914685681664,41375601,Portsmouth UK,3097,,,0,0,2
Wed May 27 23:59:59 +0000 2020,"RT @SusanStJames3: Trump will sign an executive order on Thursday relating to social media.

I can't wait to see what it is. I have my acco…",1265794914618613760,394799269,"Orlando, FL",4527,,,0,0,1
Wed May 27 23:59:59 +0000 2020,RT @ROCKONOHIO: President Trump has just made an amazing come back on this poll! Let's keep it going #TrumpIsRight https://t.co/baJWDmemfk,1265794914538962944,946406725074157569,,6799,,,0,0,3
Wed May 27 23:59:59 +0000 2020,RT @HKrassenstein: Trump is reportedly melting down over this Republican ad.  He is afraid that it will go viral!  Make it happen! #TrumpMe…,1265794914400350208,1152267397463601152,,1289,,,0,0,1
Wed May 27 23:59:59 +0000 2020,RT @willsommer: I checked out a conspiracy theory forum with 20K members to see how they're handling the Trump Scarborough accusations. The…,1265794914270547969,3930616992,USA,4907,,,0,0,1
