created_at,text,id,user_id,user_loc,user_followers,user_lang,user_time_zone,retweet_count,fav_count,scores
Thu May 28 23:59:41 +0000 2020,"RT @tammytabby: Dimon, 1 of most respected bankers in US-
Joe Biden said he was going to announce his financial plan 4 economy-If Dimon cor…",1266157226311315457,202479945,Canada/USA,5360,,,0,0,1
Thu May 28 23:59:33 +0000 2020,"RT @AndrewHClark: And yet Biden still staunchly opposes any states beginning to reopen.

Opposes stores opening up. 

Opposes Americans goi…",1266157194086580225,98665203,"Sherrills Ford, NC, USA",129,,,0,0,2
Thu May 28 23:59:20 +0000 2020,"RT @thehill: .@KimGuilfoyle: ""The Obama-Biden administration didn't do anything for this country. Why would we reward them with a second ch…",1266157136586969088,2369787813,"Maryland, USA",485,,,0,0,1
Thu May 28 23:59:13 +0000 2020,"RT @thehill: .@KimGuilfoyle: ""The Obama-Biden administration didn't do anything for this country. Why would we reward them with a second ch…",1266157109160431617,108647388,,96,,,0,0,1
Thu May 28 23:58:57 +0000 2020,RT @themaxburns: My latest for @Independent: @RealDonaldTrump's election-only messaging is going down in flames. He could be handing @JoeBi…,1266157042030374912,1514828017,,50,,,0,0,1
Thu May 28 23:58:04 +0000 2020,RT @TVNewsHQ: Fox’s @JesseBWatters: “I don’t think Biden is some sort of economic genius. I don’t think he’s going to run on the economy ag…,1266156820332023808,978311048217243648,,2343,,,0,0,3
Thu May 28 23:57:13 +0000 2020,@NancyGlidden1 Haha. Trump built the greatest economy the world has ever seen and he’ll do it again. I think the st… https://t.co/P6pn7CCMn3,1266156605869035521,42810480,Florida,95,,,0,0,2
Thu May 28 23:57:13 +0000 2020,"RT @jeneps: Sen. Cortez Masto pulls out of veepstakes: ""I support Joe Biden 100% &amp; will work tirelessly to help get him elected this Novemb…",1266156604417814529,17365683,Florida,4463,,,0,0,2
Thu May 28 23:56:36 +0000 2020,"RT @jeneps: Sen. Cortez Masto pulls out of veepstakes: ""I support Joe Biden 100% &amp; will work tirelessly to help get him elected this Novemb…",1266156448691687424,32458767,here,1943,,,0,0,2
Thu May 28 23:56:11 +0000 2020,"RT @AndrewHClark: And yet Biden still staunchly opposes any states beginning to reopen.

Opposes stores opening up. 

Opposes Americans goi…",1266156345943822336,29979105,"Pittsburgh, PA",944,,,0,0,2
Thu May 28 23:55:35 +0000 2020,"RT @ezraklein: Biden is running as Democratic party leader, not transformational candidate. He's channeling the consensus of his party, not…",1266156194441441281,933907572905693184,,2,,,0,0,1
Thu May 28 23:55:15 +0000 2020,"@cnnbrk Just stop it, CNN. It’s getting tiresome.

We know...You want us all stuck indoors behind masks as much as… https://t.co/0a89NPGYbF",1266156111046029329,1683759440,Cincinnati,106,,,0,3,2
Thu May 28 23:54:26 +0000 2020,"RT @tammytabby: Dimon, 1 of most respected bankers in US-
Joe Biden said he was going to announce his financial plan 4 economy-If Dimon cor…",1266155904992329728,43295161,Seatttle,6800,,,0,0,1
Thu May 28 23:54:18 +0000 2020,RT @themaxburns: My latest for @Independent: @RealDonaldTrump's election-only messaging is going down in flames. He could be handing @JoeBi…,1266155871907676160,3151950054,,62,,,0,0,1
Thu May 28 23:54:16 +0000 2020,"RT @AndrewHClark: Governors from BOTH parties say their states can begin to reopen. 

Dr. Fauci says states can begin to reopen. 

Joe Bide…",1266155861354991619,17056659,"Madison, WI",2849,,,0,0,2
Thu May 28 23:54:11 +0000 2020,"RT @PeterNavarro45: https://t.co/DxHhe660mR  @POTUS created the strongest economy in the world, and he will do it again. Long-term recovery…",1266155843960967168,49298571,"Beijing, China",41,,,0,0,2
Thu May 28 23:54:01 +0000 2020,"RT @AndrewHClark: And yet Biden still staunchly opposes any states beginning to reopen.

Opposes stores opening up. 

Opposes Americans goi…",1266155800386580488,17056659,"Madison, WI",2849,,,0,0,2
Thu May 28 23:53:37 +0000 2020,"RT @USMCJarhead1966: @mousetrouse2 @TheRightMelissa @JoeBiden Pretty sure most rational people think it's ok to get a little angry when:

1…",1266155698385235971,956361997880381442,,16439,,,0,0,1
Thu May 28 23:53:36 +0000 2020,"RT @thehill: .@KimGuilfoyle: ""The Obama-Biden administration didn't do anything for this country. Why would we reward them with a second ch…",1266155694618632192,1259632169720279042,,6,,,0,0,1
Thu May 28 23:53:32 +0000 2020,RT @themaxburns: My latest for @Independent: @RealDonaldTrump's election-only messaging is going down in flames. He could be handing @JoeBi…,1266155679787728897,1537157346,,889,,,0,0,1
Thu May 28 23:53:26 +0000 2020,"RT @thehill: .@KimGuilfoyle: ""The Obama-Biden administration didn't do anything for this country. Why would we reward them with a second ch…",1266155654865190913,1043804323,,368,,,0,0,1
Thu May 28 23:52:58 +0000 2020,"It's a fact, economy was dire straits with GOP president, (Bush) Obama and Biden(D) come into office, economy is re… https://t.co/ByZOrA57QU",1266155536749342721,438703431,West coast Florida,570,,,0,1,3
Thu May 28 23:52:23 +0000 2020,"@jonfavs @JoeBiden THANKS JOE BIDEN , for Stepping up to the Plate that TRUMP could never fulfill, hes only brought… https://t.co/ynQu8nXVqN",1266155389659291650,1152975406569598977,,2,,,0,0,2
Thu May 28 23:52:13 +0000 2020,"@KirbySting @Jm09wvu @PhilArballo2020 @JakeSherman @DevinNunes Yeah and now we have 40 million on unemployment, the… https://t.co/MEWOJ3U3Mk",1266155349129809921,2699074897,"Florida, USA",90,,,0,0,1
Thu May 28 23:51:46 +0000 2020,"RT @CheesyKraftman: @SethAbramson Who does America want to lead them thru the Recovery of the CoronaVirus and the Economy, somebody with ex…",1266155234121965568,37319687,,761,,,0,0,2
Thu May 28 23:50:41 +0000 2020,RT @themaxburns: My latest for @Independent: @RealDonaldTrump's election-only messaging is going down in flames. He could be handing @JoeBi…,1266154960640569344,794277331816759296,Blue America,1417,,,0,0,1
Thu May 28 23:50:04 +0000 2020,"RT @USMCJarhead1966: @mousetrouse2 @TheRightMelissa @JoeBiden Pretty sure most rational people think it's ok to get a little angry when:

1…",1266154804843147264,1248614922134536194,,948,,,0,0,1
Thu May 28 23:49:20 +0000 2020,Pro-Trump super PAC to target Biden over economy in new ads running in 3 key battlegrounds https://t.co/g9Pk7QTVN9… https://t.co/Vxs5uV0NYk,1266154620314767360,299398794,,1,,,0,0,2
Thu May 28 23:48:41 +0000 2020,"@QueenBB30571035 @clydethedog1 @JoeBiden Oh bless your heart, he is saying that Biden wouldn't know his head from h… https://t.co/FymeP0xgUR",1266154457118711808,1261166886798024705,,39,,,0,2,3
Thu May 28 23:48:16 +0000 2020,"RT @thehill: .@KimGuilfoyle: ""The Obama-Biden administration didn't do anything for this country. Why would we reward them with a second ch…",1266154354257670144,826148872053522433,,1036,,,0,0,1
Thu May 28 23:48:14 +0000 2020,"RT @thehill: .@KimGuilfoyle: ""The Obama-Biden administration didn't do anything for this country. Why would we reward them with a second ch…",1266154344174555136,1238494552547352578,,114,,,0,0,1
Thu May 28 23:47:57 +0000 2020,"If they worked around the clock then they were not very good at what they were doing.

Obama/Biden saw 2 pandemics.… https://t.co/4Shpt2TiHL",1266154273345122304,1109152570365214720,,24,,,0,0,1
Thu May 28 23:47:29 +0000 2020,RT @themaxburns: My latest for @Independent: @RealDonaldTrump's election-only messaging is going down in flames. He could be handing @JoeBi…,1266154154289922049,357335040,NOLA USA,1941,,,0,0,1
Thu May 28 23:47:07 +0000 2020,"RT @PeterNavarro45: @POTUS created the strongest economy in the world, and he will do it again. Long-term recovery means bringing manufactu…",1266154065420902400,49298571,"Beijing, China",41,,,0,0,2
Thu May 28 23:47:06 +0000 2020,"Dimon, 1 of most respected bankers in US-
Joe Biden said he was going to announce his financial plan 4 economy-If D… https://t.co/88Kwb4ORck",1266154058722807810,159230211,Georgia  ,21630,,,3,5,2
Thu May 28 23:46:54 +0000 2020,"RT @PeterNavarro45: https://t.co/DxHhe660mR  @POTUS created the strongest economy in the world, and he will do it again. Long-term recovery…",1266154008005263360,1254420547527737347,,576,,,0,0,2
Thu May 28 23:46:03 +0000 2020,"RT @jeneps: Sen. Cortez Masto pulls out of veepstakes: ""I support Joe Biden 100% &amp; will work tirelessly to help get him elected this Novemb…",1266153794548699137,107273631,,48,,,0,0,2
Thu May 28 23:45:17 +0000 2020,@realDonaldTrump Did you know that during the 8 years of the Obama presidency between 333-to-500 thousand Americans… https://t.co/xPmb8dIfMA,1266153603774836737,1098426832473415680,Can/USA ,1568,,,0,1,2
Thu May 28 23:45:17 +0000 2020,@ddayen @emptywheel Does anyone else think Mitch McConnell sees the writing on the wall for November &amp; bailed out t… https://t.co/a1odb4uMXI,1266153602890043392,23797714,"Jersey City, NJ",815,,,0,0,1
Thu May 28 23:44:36 +0000 2020,"RT @thehill: .@KimGuilfoyle: ""The Obama-Biden administration didn't do anything for this country. Why would we reward them with a second ch…",1266153431435292674,16515767,,287,,,0,0,1
