created_at,text,id,user_id,user_loc,user_followers,user_lang,user_time_zone,retweet_count,fav_count,scores
Thu May 28 23:59:57 +0000 2020,"RT @IntelOperator: ""It seems more likely they do not want to bring attention to the high level of unemployment they'd have to project for t…",1266157294242484229,2794120441, Wilderness of Mirrors,14286,,,0,0,2
Thu May 28 23:59:55 +0000 2020,"RT @theRealKiyosaki: R U PREPARED? SPANISH flu returned in fall 1918. If Corona reappears will Fascist Fauci shut down everything, includin…",1266157283333021697,1486076484,,118,,,0,0,2
Thu May 28 23:59:53 +0000 2020,"RT @orcatra: Twitter fact-checks China official after confronted over Trump double-standard https://t.co/OQXnjFwgkb

Yep, here’s an example…",1266157275271565316,1065733259387129856,,4267,,,0,0,1
Thu May 28 23:59:49 +0000 2020,"RT @wtp__2020: The economy isn't working for normal people. 

Under trump, the wealth gap continues to explode. It's accelerated with Covid…",1266157258762784769,4605593301,,150,,,0,0,1
Thu May 28 23:59:48 +0000 2020,"RT @miles_commodore: The Dow Jones being over 25,000 right now says two things to me...

People with money believe this economy is going to…",1266157254400770048,1187420008672059395,United States,4,,,0,0,2
Thu May 28 23:59:45 +0000 2020,"RT @cajun4trump: BREAKING EXCLUSIVE: Shhh... The Greatest Economic Recovery in US History Has Begun - DOW up Nearly 7,000 Points Since Marc…",1266157243764027393,1192537046134534155,,63651,,,0,0,3
Thu May 28 23:59:44 +0000 2020,"RT @5386_478: @jesuslovingmess @usmade1001 @realDonaldTrump Stephanie J , I couldn't agree with you more ! President Trump is the most ""can…",1266157239196422147,1118205222726307842,South Carolina,15320,,,0,0,1
Thu May 28 23:59:40 +0000 2020,"RT @Lalaej: Trump's new MAGA 2.0 slogan: Make America Great Again, Again. 

Obama handed 45 a stellar economy on a silver platter. 6X bankr…",1266157221781491712,2348153029,Northern California,4436,,,0,0,3
Thu May 28 23:59:39 +0000 2020,"RT @puzzlepeaces: Trump's new MAGA 2.0 slogan: Make America Great Again, Again. 

Obama handed 45 a stellar economy on a silver platter. 6X…",1266157216505217024,910961910279032832,"O'Fallon, MO",2779,,,0,0,3
Thu May 28 23:59:38 +0000 2020,"RT @JohnTrumpFanKJV: Lord, I  pray you would open the eyes of millions of independents &amp; democrat voters. Reveal how tyrannical politicians…",1266157212667465728,860567124,,4655,,,0,0,2
Thu May 28 23:59:37 +0000 2020,"RT @miles_commodore: The Dow Jones being over 25,000 right now says two things to me...

People with money believe this economy is going to…",1266157210264047616,892122942,,893,,,0,0,2
Thu May 28 23:59:36 +0000 2020,"RT @JohnTrumpFanKJV: Lord, I  pray you would open the eyes of millions of independents &amp; democrat voters. Reveal how tyrannical politicians…",1266157205335748608,15995652,"Pennsylvania, USA",21838,,,0,0,2
Thu May 28 23:59:29 +0000 2020,"RT @wtp__2020: The economy isn't working for normal people. 

Under trump, the wealth gap continues to explode. It's accelerated with Covid…",1266157175279403008,900826739961602048,United States,20730,,,0,0,1
Thu May 28 23:59:27 +0000 2020,With China manufacturing 90% of antibiotics used in the US and refusing to supply sorely needed medical masks and v… https://t.co/RQrOp6u74m,1266157169075986433,822061023075049479,Heartland USA,965,,,0,0,2
