created_at,text,id,user_id,user_loc,user_followers,user_lang,user_time_zone,retweet_count,fav_count,scores
Thu May 28 23:51:06 +0000 2020,"At last, a climate policy platform that can unite the left https://t.co/3DmN6vHjv0 via @voxdotcom",1266155067457093634,252736039,"Holyoke, MA, United States",1721,,,0,1,2
Thu May 28 23:49:19 +0000 2020,"Any plan to solve the #climatecrisis must center justice and equity, and include the voices of frontline communitie… https://t.co/scsi2yL1A5",1266154615604686849,1546551199,,72,,,0,1,2
Thu May 28 23:46:05 +0000 2020,Interesting pair of @drvox stories about increasingly unified climate justice work. This bit suggests Biden at leas… https://t.co/GD2sM9zqLS,1266153805894356993,409220649,"Nashua, NH, USA",976,,,0,0,3
Thu May 28 23:45:12 +0000 2020,"@AngryInsurgent So, you agree that Biden would make progress on the environment but would go too slow. Is that what… https://t.co/6SGDdP3GPP",1266153583575101440,702982178,"Liuzhou GX, Mesa AZ",1511,,,0,0,1
Thu May 28 23:43:41 +0000 2020,"@secularcitizen2 @amyklobuchar @JoeBiden Your choices, realistically, are Biden or Trump. If you're going to trash… https://t.co/mG64a25U51",1266153198894542849,3138348906,,2045,,,0,1,3
Thu May 28 23:35:10 +0000 2020,I try engaging with people of different views. This includes #rosetwitter. Ironically I agree with so much of their… https://t.co/BNYWjcCFhB,1266151057161441280,892560421646999552,"Fairfax, VA",40,,,1,2,3
Thu May 28 23:12:49 +0000 2020,"At last, a climate policy platform that can unite the left.
Reality steps in. 

https://t.co/TfnCgDwJLQ via @voxdotcom",1266145431928659968,826076271335636992,"Missouri, USA",8781,,,0,0,1
Thu May 28 23:06:31 +0000 2020,"RT @CEED_Justice: #JustClimateFuture
At last, a climate policy platform that can unite the left https://t.co/5SnLtcCwcS via @voxdotcom",1266143847639330816,7571352,,131,,,0,0,2
Thu May 28 23:01:23 +0000 2020,"At last, a climate policy platform that can unite the left https://t.co/TfnCgDwJLQ via @voxdotcom",1266142556116717573,826076271335636992,"Missouri, USA",8781,,,0,0,2
Thu May 28 22:58:57 +0000 2020,@kemccarthy1 @ItsKey_70sbaby @justin_fenton It's a pretty relevant fact. It means that ths problem is the inherent… https://t.co/x97Z2XMYPu,1266141941881868288,807283758864822272,"Florida, USA",110,,,0,3,3
Thu May 28 22:43:04 +0000 2020,"#JustClimateFuture
At last, a climate policy platform that can unite the left https://t.co/5SnLtcCwcS via @voxdotcom",1266137944793833472,744139961557913604,"Minneapolis, MN",206,,,1,0,2
Thu May 28 22:33:18 +0000 2020,"RT @USA_Polling: ""Who do you trust more on the environment?""

Biden: 48% (+1)
Trump: 29% (-1)

Morning Consult / May 18, 2020 / n=2000 / On…",1266135488395706368,823182360,,790,,,0,0,2
Thu May 28 22:30:12 +0000 2020,The factions of the #Democratic coalition have come into alignment on #climate change. #JoeBiden #Election2020… https://t.co/iUxwCFzdGc,1266134708032884736,380346763,"Charlottesville, VA",9719,,,0,0,2
Thu May 28 22:29:43 +0000 2020,RT @Sammy_Roth: I think this is the most hopeful piece @drvox has ever written? He argues that a broad array of left-of-center groups have…,1266134586196520960,1445359879,Sierra Vista Arizona,125,,,0,0,3
Thu May 28 22:27:49 +0000 2020,"After years of fractured thinking on how to tackle climate, the left largely coalesced around standards, investment… https://t.co/6y9tpHxolP",1266134107462893569,499420061,"Los Angeles, CA",3486,,,0,1,1
Thu May 28 22:23:53 +0000 2020,"RT @TYTArmy3: .@DNC: This is how we repeat 2016...

@JoeBiden says he agrees w/ progressives about problems w/ healthcare, environment, eco…",1266133115744944134,796115867130101760,Northeast United States,697,,,0,0,1
Thu May 28 22:02:52 +0000 2020,https://t.co/RY3c2EA5WE,1266127827486662656,898804615,"Seattle, WA",284,,,0,0,2
Thu May 28 21:28:24 +0000 2020,"@JasonMHicks I mean the evidence shows that the Democrats, particularly of Biden's stripe, have led us down the roa… https://t.co/9Kesmx4yWa",1266119152894238720,702586433186328577,,11318,,,0,0,1
Thu May 28 21:24:40 +0000 2020,"RT @Micke_vK: ”...if you work backward from net zero by 2050, you arrive at policy radicalism. There’s no avoiding it.” https://t.co/gUb5Sb…",1266118216604139520,17788478,Stockholm,532,,,0,0,1
Thu May 28 21:23:09 +0000 2020,@RuckCohlchez @ProudSocialist @TeamSJW This isn’t about 14 sad self-centered people sitting in a corner. People vot… https://t.co/1fZX6HxkX7,1266117832623796224,1258857224291536896,Colorado,440,,,0,0,1
Thu May 28 21:16:47 +0000 2020,"RT @thisbearbites: At last, a climate policy platform that can unite the left https://t.co/DlInieWYFm via @voxdotcom",1266116231570087936,4099926287,Berlin ,1667,,,0,0,2
Thu May 28 21:15:57 +0000 2020,@USA_Polling Cannot fathom how anyone on earth (even the Bernie or bust types) could place Trump ahead of Biden for… https://t.co/ytdPQHlCR2,1266116022186041344,1229476728151494657,Southern California,78,,,0,2,1
Thu May 28 21:08:47 +0000 2020,@drvox is one of my favourite climate/energy policy journalists. He's knocked it out of the park with this piece: https://t.co/ZunwZSFVL2,1266114219256225792,4149584430,"Toronto, Ontario",102,,,0,0,3
Thu May 28 21:08:47 +0000 2020,"At last, a climate policy platform that can unite the left https://t.co/DlInieWYFm via @voxdotcom",1266114216630480896,192769170,"Phoenix, AZ",417,,,1,0,2
Thu May 28 21:05:10 +0000 2020,"RT @tveitdal: At last, a climate policy platform that can unite the left https://t.co/JURhp9I0GX
The factions of the Democratic coalition h…",1266113309649989632,15965877,"Washington, USA",2002,,,0,0,1
Thu May 28 21:03:21 +0000 2020,"RT @USA_Polling: ""Who do you trust more on the environment?""

Biden: 48% (+1)
Trump: 29% (-1)

Morning Consult / May 18, 2020 / n=2000 / On…",1266112849782419456,25063236,France,2047,,,0,0,2
Thu May 28 21:02:28 +0000 2020,"RT @tveitdal: At last, a climate policy platform that can unite the left https://t.co/JURhp9I0GX
The factions of the Democratic coalition h…",1266112628465774597,75742264,"Arendal, Norway",302015,,,0,0,1
Thu May 28 21:01:14 +0000 2020,"Any plan to solve the #climatecrisis must center justice and equity, and include the voices of frontline communitie… https://t.co/ToFl1NQE4g",1266112317202325504,541050337,"Washington, DC",495,,,0,0,2
Thu May 28 20:53:16 +0000 2020,"RT @USA_Polling: ""Who do you trust more on the environment?""

Biden: 48% (+1)
Trump: 29% (-1)

Morning Consult / May 18, 2020 / n=2000 / On…",1266110313377792002,2967137516,"North Carolina, USA",669,,,0,0,2
Thu May 28 20:50:28 +0000 2020,"RT @Micke_vK: ”...if you work backward from net zero by 2050, you arrive at policy radicalism. There’s no avoiding it.” https://t.co/gUb5Sb…",1266109609602883586,201190952,Linköping,1131,,,0,0,1
Thu May 28 20:49:12 +0000 2020,"RT @USA_Polling: ""Who do you trust more on the environment?""

Biden: 48% (+1)
Trump: 29% (-1)

Morning Consult / May 18, 2020 / n=2000 / On…",1266109291523706889,278552085,Baarn,1278,,,0,0,2
Thu May 28 20:39:58 +0000 2020,"RT @USA_Polling: ""Who do you trust more on the environment?""

Biden: 48% (+1)
Trump: 29% (-1)

Morning Consult / May 18, 2020 / n=2000 / On…",1266106964213469204,1121076356626952193,,3262,,,0,0,2
