created_at,text,id,user_id,user_loc,user_followers,user_lang,user_time_zone,retweet_count,fav_count,scores
Thu May 28 23:59:28 +0000 2020,"RT @dominowski: @VeganAri @AmazingGraceToo For example ... Trump rule allows killing bear cubs in dens
https://t.co/kg7cJZYGJc",1266157173073219584,3326017151,"Florida, USA",21965,,,0,0,2
Thu May 28 23:57:55 +0000 2020,"RT @nywolforg: Feds approve new rule to allow trophy hunters in Alaska’s national preserves to kill bears + wolves, their cubs + pups, whil…",1266156781736255488,1254663113150025728,Tennessee The Volunteer State,623,,,0,0,2
Thu May 28 23:57:34 +0000 2020,New Trump public land rules will let Alaska hunters kill bear Cubs in dens. Fuck the entire Trump Family.  https://t.co/rbn3oaWNSw,1266156695517949952,2959494936,In the Ether,948,,,0,0,1
Thu May 28 23:57:33 +0000 2020,"RT @patrickkeneally: ‘Amazingly cruel’ move by Trump administration strips protections for bears, wolves and coyotes https://t.co/YiuJYvfOWw",1266156691243991040,14146054,"Sydney, Australia",755,,,0,0,1
Thu May 28 23:57:29 +0000 2020,"This SOB is satan

New Trump public land rules will let Alaska hunters kill bear cubs in dens https://t.co/KplAa1rY1u",1266156671979655168,3369944015,🇺🇸🇩🇪,24434,,,0,3,2
Thu May 28 23:57:19 +0000 2020,"RT @wildearthguard: Letting ""hunters"" shoot #bear cubs and #wolf pups in their dens within America's national preserves in Alaska is beyond…",1266156631915626497,831657095497969664,,1263,,,0,0,2
Thu May 28 23:56:52 +0000 2020,"RT @MotherJones: New ""amazingly cruel"" Trump public land rules will let Alaska hunters kill bear cubs in dens https://t.co/cM8CeXzwt5",1266156516236812288,1219418654913323008,"Houston, TX",45,,,0,0,2
Thu May 28 23:56:33 +0000 2020,New Trump public land rules will let Alaska hunters kill bear cubs in dens | Environment | The Guardian https://t.co/iY0GsFED7n,1266156438876860416,32871723,Singapore,940,,,0,0,1
Thu May 28 23:56:22 +0000 2020,"RT @MotherJones: New ""amazingly cruel"" Trump public land rules will let Alaska hunters kill bear cubs in dens https://t.co/oSDX2s4wsa",1266156391053418498,66250174,"Lovely Atascadero, CA",80,,,0,0,2
Thu May 28 23:55:56 +0000 2020,"RT @dominowski: @VeganAri @AmazingGraceToo For example ... Trump rule allows killing bear cubs in dens
https://t.co/kg7cJZYGJc",1266156281443897345,64145834,Reality,11262,,,0,0,2
Thu May 28 23:55:34 +0000 2020,"RT @MotherJones: New ""amazingly cruel"" Trump public land rules will let Alaska hunters kill bear cubs in dens https://t.co/oSDX2s4wsa",1266156188451909637,621113677,,275,,,0,0,2
Thu May 28 23:54:49 +0000 2020,"@parksandrecnbc please have Leslie fix this.
New Trump public land rules will let Alaska hunters kill bear cubs in… https://t.co/xsJYkluDpr",1266156001159348224,830183385360384001,,2,,,0,0,2
Thu May 28 23:54:47 +0000 2020,RT @Animal_Watch: New Trump public land rules will let Alaska hunters kill bear cubs in dens  https://t.co/SFsNKYdde5 @guardianeco #Trump #…,1266155991239995393,979487577806987265,,1302,,,0,0,2
Thu May 28 23:54:28 +0000 2020,"RT @MotherJones: New ""amazingly cruel"" Trump public land rules will let Alaska hunters kill bear cubs in dens https://t.co/oSDX2s4wsa",1266155912739389440,384391328,,141,,,0,0,2
Thu May 28 23:53:22 +0000 2020,"RT @MotherJones: New ""amazingly cruel"" Trump public land rules will let Alaska hunters kill bear cubs in dens https://t.co/cM8CeXzwt5",1266155638519787522,88583249,"San Francisco, CA",50,,,0,0,2
Thu May 28 23:52:55 +0000 2020,"RT @MotherJones: New ""amazingly cruel"" Trump public land rules will let Alaska hunters kill bear cubs in dens https://t.co/oSDX2s4wsa",1266155522560012289,2752212263,Glasgow,275,,,0,0,2
Thu May 28 23:52:18 +0000 2020,RT @ByIanJames: The Trump administration is proposing to allow cattle grazing on more than half of the Sonoran Desert National Monument in…,1266155367186206731,299929232,"Missouri, USA",35466,,,0,0,2
Thu May 28 23:51:53 +0000 2020,"RT @MotherJones: New ""amazingly cruel"" Trump public land rules will let Alaska hunters kill bear cubs in dens https://t.co/cM8CeXzwt5",1266155264354316296,721367892,,64,,,0,0,2
Thu May 28 23:51:48 +0000 2020,"@UPP_Polls @Twitter @realDonaldTrump To me, it's silly.  Real, objective fact checking takes a considerable time, a… https://t.co/5pHgQsRMkD",1266155243609264128,755135173411282944,Spud from the Northwest USA ,1899,,,0,0,1
Thu May 28 23:51:28 +0000 2020,"RT @MotherJones: New ""amazingly cruel"" Trump public land rules will let Alaska hunters kill bear cubs in dens https://t.co/oSDX2s4wsa",1266155159278751744,522289577,Europe,96,,,0,0,2
Thu May 28 23:51:18 +0000 2020,"RT @IsadoraBright: **The cruelty is the point **

New Trump public land rules will let Alaska hunters kill bear cubs in dens https://t.co/T…",1266155117872586757,270734351,Here there,8315,,,0,0,3
Thu May 28 23:50:28 +0000 2020,"RT @MotherJones: New ""amazingly cruel"" Trump public land rules will let Alaska hunters kill bear cubs in dens https://t.co/oSDX2s4wsa",1266154905401778176,819694253777518592,"Wisconsin, USA",455,,,0,0,2
Thu May 28 23:50:27 +0000 2020,RT @thehill: 23 states sue Trump over rollback of Obama fuel efficiency regulations https://t.co/LWnBxgrqTw https://t.co/csMCa4nhqt,1266154904600666112,492710786,,836,,,0,0,2
Thu May 28 23:50:25 +0000 2020,"RT @MotherJones: New ""amazingly cruel"" Trump public land rules will let Alaska hunters kill bear cubs in dens https://t.co/oSDX2s4wsa",1266154893166940160,46901675,"Brandon, MS  Hotty Toddy Land",523,,,0,0,2
Thu May 28 23:50:14 +0000 2020,"RT @MotherJones: New ""amazingly cruel"" Trump public land rules will let Alaska hunters kill bear cubs in dens https://t.co/oSDX2s4wsa",1266154849638535174,824360829822894080,"Indiana, USA",1246,,,0,0,2
Thu May 28 23:50:12 +0000 2020,"**The cruelty is the point **

New Trump public land rules will let Alaska hunters kill bear cubs in dens https://t.co/TFBcnjK0fU",1266154840729645056,374240012,The Resistance,21665,,,1,1,1
Thu May 28 23:49:41 +0000 2020,"RT @MotherJones: New ""amazingly cruel"" Trump public land rules will let Alaska hunters kill bear cubs in dens https://t.co/cM8CeXzwt5",1266154710374838272,1238946338689044480,,3,,,0,0,2
Thu May 28 23:48:17 +0000 2020,"RT @ShoebridgeMLC: This is just obscene. Hunting baby animals in their dens? Even thinking of it is revolting, actively promoting it is bey…",1266154358862786561,1976803044,Coastal NSW,75,,,0,0,2
Thu May 28 23:48:10 +0000 2020,"RT @MichaelEMann: ""I Could Stand In the Middle Of Yellowstone And Shoot Bear Cubs And I Wouldn't Lose the #MAGA crowd""
   - Donald Trump

h…",1266154327170834434,16121943,"Nashville, TN",3351,,,0,0,1
Thu May 28 23:47:20 +0000 2020,"RT @MotherJones: New ""amazingly cruel"" Trump public land rules will let Alaska hunters kill bear cubs in dens https://t.co/oSDX2s4wsa",1266154117698707456,77874080,,268,,,0,0,2
Thu May 28 23:46:55 +0000 2020,RT @SenSanders: We cannot have 50 states going at it alone. What we need is testing going on all over this country so when we reopen the ec…,1266154013441036290,25924647,Singapore,3603,,,0,0,1
Thu May 28 23:45:34 +0000 2020,"RT @tveitdal: New Trump public land rules will let Alaska hunters kill bear cubs in dens https://t.co/qwmqAx27am
The ‘amazingly cruel’ move…",1266153672339161088,601575057,Australia,475,,,0,0,2
Thu May 28 23:45:07 +0000 2020,"RT @DebAlexander111: Any hunter that would do this is a sicko, I mean seriously, can you imagine yourself shooting defenceless cubs?? Who A…",1266153559222915072,3007815702,Gaia.,4839,,,0,0,2
Thu May 28 23:44:56 +0000 2020,"RT @MotherJones: New ""amazingly cruel"" Trump public land rules will let Alaska hunters kill bear cubs in dens https://t.co/cM8CeXzwt5",1266153515358904320,1046074586,"California, USA",943,,,0,0,2
Thu May 28 23:44:46 +0000 2020,"RT @MotherJones: New ""amazingly cruel"" Trump public land rules will let Alaska hunters kill bear cubs in dens https://t.co/oSDX2s4wsa",1266153471209730049,32920997,Southern California,659,,,0,0,2
Thu May 28 23:44:23 +0000 2020,"RT @bennydiego: New Trump public land rules will let Alaska hunters kill bear cubs in dens.

The ‘amazingly cruel’ move by the National Par…",1266153376191934465,4029144738,,559,,,0,0,2
Thu May 28 23:43:57 +0000 2020,"RT @MotherJones: New ""amazingly cruel"" Trump public land rules will let Alaska hunters kill bear cubs in dens https://t.co/cM8CeXzwt5",1266153266326339584,779527519384981504,,47,,,0,0,2
