created_at,text,id,user_id,user_loc,user_followers,user_lang,user_time_zone,retweet_count,fav_count,scores
Thu May 28 23:58:37 +0000 2020,"RT @TrumpWarRoom: @JoeBiden Biden's public health advisory committee repeatedly downplayed coronavirus threat
https://t.co/P4fwRMfXeJ",1266156958358409222,928298360829865984,"Delaware, USA",1387,,,0,0,2
Thu May 28 23:58:04 +0000 2020,RT @LeeSmithDC: Terrific ⁦@molmccann⁩ piece in ⁦@FDRLST⁩ — masks aren’t about public health but social control. Image of Biden in black mas…,1266156818604142593,14371224,"Kekistan, followed by GenFlynn",17698,,,0,0,3
Thu May 28 23:57:57 +0000 2020,RT @LeeSmithDC: Terrific ⁦@molmccann⁩ piece in ⁦@FDRLST⁩ — masks aren’t about public health but social control. Image of Biden in black mas…,1266156791278104576,173609155,"Idaho, USA & a Child of God ",7051,,,0,0,3
Thu May 28 23:57:00 +0000 2020,"RT @TrumpWarRoom: @JoeBiden Biden's public health advisory committee repeatedly downplayed coronavirus threat
https://t.co/P4fwRMfXeJ",1266156549929566212,293602749,,4463,,,0,0,2
Thu May 28 23:56:59 +0000 2020,RT @LeeSmithDC: Terrific ⁦@molmccann⁩ piece in ⁦@FDRLST⁩ — masks aren’t about public health but social control. Image of Biden in black mas…,1266156548985892864,1200043582662610946,,96,,,0,0,3
Thu May 28 23:56:33 +0000 2020,@Riptide360 @cyberfly8 @Freedom4all67 @_Freedom_Fight Maybe you are like Hillary and Biden and Obama etc. That when… https://t.co/v1gGnz1n4w,1266156437341908994,884187080842149888,"Wisconsin, USA",3867,,,1,1,2
Thu May 28 23:56:25 +0000 2020,"RT @TrumpWarRoom: @JoeBiden Biden's public health advisory committee repeatedly downplayed coronavirus threat
https://t.co/P4fwRMfXeJ",1266156403472969728,1187142124980068353,"North Carolina, USA",3199,,,0,0,2
Thu May 28 23:55:14 +0000 2020,RT @LeeSmithDC: Terrific ⁦@molmccann⁩ piece in ⁦@FDRLST⁩ — masks aren’t about public health but social control. Image of Biden in black mas…,1266156107527065601,3301924942,"Grand Rapids, MI",2270,,,0,0,3
Thu May 28 23:55:02 +0000 2020,RT @LeeSmithDC: Terrific ⁦@molmccann⁩ piece in ⁦@FDRLST⁩ — masks aren’t about public health but social control. Image of Biden in black mas…,1266156057568718854,1198669086139539456,,1705,,,0,0,3
Thu May 28 23:55:00 +0000 2020,RT @RealSaavedra: This tweet is a lie as it falsely portrays Biden calling for American health experts to be on the ground in China first d…,1266156049473638400,112287707,East coast,11586,,,0,0,1
Thu May 28 23:54:07 +0000 2020,"RT @AdamSchiff: Joe Biden’s agenda is practical, ambitious and humane.

It will be a game-changer for our workers, our climate, our kids, a…",1266155824545587205,32490080,,431,,,0,0,3
