created_at,text,id,user_id,user_loc,user_followers,user_lang,user_time_zone,retweet_count,fav_count,scores
Thu May 28 23:59:59 +0000 2020,"RT @mikebravodude: George Soros funds Antifa and Black Lives Matters 

""That motherfucker promised to pay me $2k/week and give me health in…",1266157302559772674,1022178344236924928,,1523,,,0,0,3
Thu May 28 23:59:59 +0000 2020,@MarshallCohen @radiobobkansas Trump's public health misinformation and Trump-Kushner PPE trafficking are crimes ag… https://t.co/ocGlUqvE2L,1266157300408082433,730188024911429633,,1296,,,1,0,2
Thu May 28 23:59:58 +0000 2020,RT @JoeBiden: We are not prepared for a pandemic. Trump has rolled back progress President Obama and I made to strengthen global health sec…,1266157299359334400,2195205788,,330,,,0,0,1
Thu May 28 23:59:57 +0000 2020,RT @maddow: “The fact that we’d be so incompetent in our distribution of this that we’d... inefficiently distribute the one therapy we have…,1266157295559495682,449372154,,602,,,0,0,1
Thu May 28 23:59:56 +0000 2020,"RT @LuisEspinosa304: 19/5/2020

Los italianos instan a las naciones del G20 a unirse a Trump para desfinanciar a la OMS

Más de 200,000 ita…",1266157288844398592,166632328,,1732,,,0,0,2
Thu May 28 23:59:52 +0000 2020,RT @kenklippenstein: Trump's decision to defund the World Health Organization could be so devastating to Africa that even the Pentagon is c…,1266157270561435650,53500054,,1432,,,0,0,1
Thu May 28 23:59:51 +0000 2020,"RT @BernieSanders: 100,000 are dead from coronavirus, 40 million apply for unemployment benefits, 20% of children are hungry, millions face…",1266157266836824067,3655898715,,473,,,0,0,3
Thu May 28 23:59:50 +0000 2020,"@realDonaldTrump has to destroy all regulations that deal with public health, humanity and preservation of wildlife… https://t.co/oD1mbJXOQG",1266157265482133504,1182652583267184644,,2,,,0,0,2
Thu May 28 23:59:48 +0000 2020,"RT @rightNtruthMat: @realDonaldTrump Trump’s MENTAL HEALTH needs to be THE national topic of discussion

He continually exhibits shocking b…",1266157253998063616,1236421971107348480,,149,,,0,0,2
Thu May 28 23:59:48 +0000 2020,RT @JoeBiden: We are not prepared for a pandemic. Trump has rolled back progress President Obama and I made to strengthen global health sec…,1266157253997944833,822636182219747329,"Massachusetts, USA",1426,,,0,0,1
