created_at,text,id,user_id,user_loc,user_followers,user_lang,user_time_zone,retweet_count,fav_count,scores
Thu May 28 23:54:19 +0000 2020,"@MsAvaArmstrong Vote Basement Joe, U approve abortion/higher taxes/socialism/your RIGHTS/LIBERTIES taken away/suppo… https://t.co/kgDLdxrp2s",1266155873845612545,1244786201179103234,,554,,,0,0,3
Thu May 28 23:36:30 +0000 2020,@AJWathen @T00lian @iamwandasykes Were you in the meetings held in the White House when they discussed immigration… https://t.co/yWh1Fr6u6Y,1266151393343213568,1105507359508578311,"New York, USA",301,,,0,0,2
Thu May 28 23:21:46 +0000 2020,"@mitchellvii If you cast a vote for Biden, you will be  supporting illegal immigration, late-term abortion, higher… https://t.co/Sp1GmE7VIL",1266147686371205123,708799975606587392,"Chicago, IL",204,,,0,0,3
Thu May 28 23:18:46 +0000 2020,RT @TexasBluein20: Biden has a detailed agenda that includes doubling minimum wage; tripling funding for schools; proposing the most sweepi…,1266146929525706753,1113450409056645120,,2458,,,0,0,3
Thu May 28 23:15:37 +0000 2020,RT @TexasBluein20: Biden has a detailed agenda that includes doubling minimum wage; tripling funding for schools; proposing the most sweepi…,1266146137649541120,357232722,USA,3993,,,0,0,3
Thu May 28 23:07:05 +0000 2020,"RT @ArrestedAplomb: @DanCrenshawTX @SGLawrence HatTip @HowieCarrShow
🇶 “Americans Don’t Get Ruled?” https://t.co/scfFgldKVY
😱Presidents don…",1266143989452898310,525893754,,4288,,,0,0,2
Thu May 28 23:01:43 +0000 2020,RT @TexasBluein20: Biden has a detailed agenda that includes doubling minimum wage; tripling funding for schools; proposing the most sweepi…,1266142639520440323,815871284,"Florida, USA",20027,,,0,0,3
Thu May 28 22:54:32 +0000 2020,"*And neither this president and his anti-immigration advisers, nor the unions Biden is trying to consolidate suppor… https://t.co/YexMsNM2fz",1266140831628488704,17058879,"Seattle, United States",2586,,,0,0,2
Thu May 28 22:41:38 +0000 2020,@JoeBiden No!! YOU failed the nation because President Trump wanted to put a block on China immigration and YOU and… https://t.co/KFqHU5pWar,1266137586004828161,252343179,"Pompano Beach, FL",84,,,0,0,2
Thu May 28 22:40:13 +0000 2020,@BackupGrumpy @CrazyNormie did you notice that he hasn't apologized to latino advocacy groups for obama's immigrati… https://t.co/6ISvfCbv9c,1266137227370934277,30453164,Pittsburgh Mossad Office,2121,,,0,1,1
Thu May 28 22:14:30 +0000 2020,"1) The Immigration Courts need to be independent. 

2) People who might serve in the Biden Admin need to be plannin… https://t.co/ElRXpTnM5H",1266130754091667457,133173047,"Las Vegas, NV",3682,,,0,5,2
Thu May 28 22:05:09 +0000 2020,"RT @osceola_91: @FarukEliseo10 @AnnCoulter Bro, how the hell do you trust Biden over Trump on the economy? On trade? Even if you think Trum…",1266128401284452352,927829740,"Alabama, USA",298,,,0,0,1
Thu May 28 21:58:05 +0000 2020,"RT @jacobsullum: In a damning indictment consisting mainly of Joe Biden's own words, @JustinANutshell reviews the presumptive Democratic no…",1266126626275852289,555595725,,602,,,0,0,1
Thu May 28 21:54:23 +0000 2020,@cathandler @kausmickey @NeilMunroDC @TuckerCarlson I’m looking for someone to support. I don’t care for Biden. I w… https://t.co/MU5YS2texO,1266125694192553990,950976000,Southern California,1470,,,0,0,1
Thu May 28 21:46:47 +0000 2020,"@DanCrenshawTX @SGLawrence HatTip @HowieCarrShow
🇶 “Americans Don’t Get Ruled?” https://t.co/scfFgldKVY
😱Presidents… https://t.co/ALwmx84NPR",1266123780994277376,961109977,,14211,,,1,1,2
Thu May 28 21:41:56 +0000 2020,"@JOEL5H @EspuelasVox @representus @EvaLongoria @Alyssa_Milano Tell Biden to add to his list of policies ""eliminate… https://t.co/q2lFmmImy6",1266122561009512448,1232716493902630913,,3,,,0,0,2
Thu May 28 21:35:15 +0000 2020,RT @TexasBluein20: Biden has a detailed agenda that includes doubling minimum wage; tripling funding for schools; proposing the most sweepi…,1266120879702003712,129891033,"Texas, USA",8498,,,0,0,3
Thu May 28 21:34:21 +0000 2020,RT @TexasBluein20: Biden has a detailed agenda that includes doubling minimum wage; tripling funding for schools; proposing the most sweepi…,1266120651389222913,987188743,,1394,,,0,0,3
Thu May 28 21:31:55 +0000 2020,RT @TexasBluein20: Biden has a detailed agenda that includes doubling minimum wage; tripling funding for schools; proposing the most sweepi…,1266120039817637888,1189648405678608384,"Lake Goodwin, WA",116,,,0,0,3
Thu May 28 21:29:22 +0000 2020,RT @TexasBluein20: Biden has a detailed agenda that includes doubling minimum wage; tripling funding for schools; proposing the most sweepi…,1266119400081391616,1453270633,Texas,33033,,,0,0,3
Thu May 28 21:04:46 +0000 2020,"If Biden wins, democracy at the national level is dead, mostly because of uncontrolled immigration for 40 years. No… https://t.co/plH6Qp8zwF",1266113206906507265,555514268,,1300,,,0,0,3
Thu May 28 21:01:20 +0000 2020,"#TwitterVideo

Joe Biden is on illegal immigration.

He'd have ZERO deportations for the first 100 days INCLUDING C… https://t.co/VgBfiR8C8W",1266112344712720385,895388295496073221,"El Paso, TX",1268,,,0,0,2
Thu May 28 21:01:00 +0000 2020,RT @TexasBluein20: Biden has a detailed agenda that includes doubling minimum wage; tripling funding for schools; proposing the most sweepi…,1266112261371789312,1251342959045259266,"Urban Deca Homes, Tipolo; ",105,,,0,0,3
Thu May 28 20:52:55 +0000 2020,@thehill @kimguilfoyle Didn’t do anything Kim? Did you see how you were able to make money after the crash in ‘08?… https://t.co/XNBVHdSMfd,1266110223988604928,34143187,Northern California,526,,,0,0,2
Thu May 28 20:29:33 +0000 2020,@unimpressed247 @RuckCohlchez @golikehellmachi @pareene Did I say Biden's record was spotless? No I did not. But pu… https://t.co/xvGXYmrF6f,1266104343041720320,14194527,"San Francisco, CA",147,,,0,2,2
Thu May 28 20:10:45 +0000 2020,"@jakewidman @RuckCohlchez @golikehellmachi @pareene Read up on AEDPA, IIRAIRA, the 1994 Crime bill, bankruptcy laws… https://t.co/kKp7xoLhrn",1266099614618353664,3485156534,"Hippieville, Colorado",1010,,,0,1,1
Thu May 28 19:37:29 +0000 2020,All Biden has to do is to come out for slowing immigration and stopping guest worker programs until the country’s p… https://t.co/SDMmtqI4vQ,1266091239918538752,950976000,Southern California,1470,,,0,1,3
Thu May 28 19:31:29 +0000 2020,@AuthorSingh @varadmehta All Biden has to do is to come out for slowing immigration and stopping guest worker progr… https://t.co/k8MCwOaWl4,1266089731168694272,950976000,Southern California,1470,,,0,0,3
Thu May 28 19:07:59 +0000 2020,"@ChrisDJackson @JoeBiden Pretty much EVERYONE took a shot at Biden during the debates: Warren, Harris, Bloomberg, S… https://t.co/U10t70Xw8t",1266083817263108099,1006083950912114688,"North Carolina, USA",214,,,0,1,3
Thu May 28 18:44:39 +0000 2020,"RT @Carrasquillo: Major development due to pandemic: 

Immigration is no longer the #1 issue in ARIZONA as Jan Brewer’s former chief told m…",1266077944088162304,804770917846876160,"Phoenix, AZ",1664,,,0,0,1
Thu May 28 18:13:50 +0000 2020,@ChrisDJackson @JoeBiden I believe a lot of the resentment comes from the lack of a comprehensive immigration refor… https://t.co/u9uqnbj0Bf,1266070189600321538,1241421987798560768,,74,,,1,5,1
Thu May 28 18:13:32 +0000 2020,@AnnCoulter Bitter Anne trying to sabotage the POTUS in a likely close-election 👍🏻.  Good work - I’m sure Biden wil… https://t.co/Z6BqoUr9ds,1266070116728336385,960206273189949442,,33,,,0,0,1
