created_at,text,id,user_id,user_loc,user_followers,user_lang,user_time_zone,retweet_count,fav_count,scores
Thu May 28 23:58:47 +0000 2020,@MaysPatriot @mwiley4975 @tressusa1 @Usa1cap @daverich503 @Tracie0313 @jacksonhudsonri @KathiCupidsmom… https://t.co/TfK1KBlk8r,1266157001354043392,2831096102,"Lodi, California",3304,,,0,1,2
Thu May 28 23:57:18 +0000 2020,RT @HKrassenstein: Here is a reminder that 7 months ago Joe Biden was warning America that Trump wasn't prepared for a pandemic.  This was…,1266156626391830528,2451799248,Topeka Kansas,120,,,0,0,1
Thu May 28 23:56:33 +0000 2020,"@meatsweats1942 @PreppyRichSquad @BlackBernieBabe @sadboylasagna Biden is popular, though, because he is at least e… https://t.co/Ofvn7mWEGA",1266156439384526851,310781339,,66,,,0,0,3
Thu May 28 23:55:24 +0000 2020,"RT @politicususa: The latest poll of Florida shows Joe Biden holding on to a narrow lead, but Trump’s job approval is declining in the Suns…",1266156146949324800,2766680453,chi-town,85,,,0,0,2
Thu May 28 23:55:08 +0000 2020,RT @jeanniology: If Joe Biden picks Kamala Harris as his running mate it’s because he got a glowing job recommendation from Willie Brown.,1266156081656594437,2683368271,"Virginia Beach, VA",3795,,,0,0,2
Thu May 28 23:54:50 +0000 2020,"RT @PoliticusSarah: The latest poll of Florida shows Joe Biden holding on to a narrow lead, but Trump’s job approval is declining in the Su…",1266156007291531264,723175496,"Blue State, Thank God",3623,,,0,0,2
Thu May 28 23:54:50 +0000 2020,"RT @tify330: You don’t have to campaign for a job you deserve and earned. Period! 

Read this article.. https://t.co/R00myAKK0U",1266156005055819776,2886920743,,1932,,,0,0,1
Thu May 28 23:54:20 +0000 2020,"@JoeBiden Using the virus to push your political ideologies.

You ridicule Trump for banning travel. Then apologize… https://t.co/rwfpLsM63h",1266155881118351360,1239318257456168960,"SLC, UT",109,,,0,0,2
Thu May 28 23:54:14 +0000 2020,If Joe Biden picks Kamala Harris as his running mate it’s because he got a glowing job recommendation from Willie Brown.,1266155854300172288,20877721,USA,7371,,,2,3,2
Thu May 28 23:53:59 +0000 2020,"RT @1GaryBernstein: Heartbroken To Hear Nevada Senator @SenCortezMasto Has Withdrawn Her Name From Consideration As Biden VP.
I’m A Republi…",1266155792413138944,40183366,United States,111268,,,0,0,2
Thu May 28 23:53:36 +0000 2020,"RT @politicususa: The latest poll of Florida shows Joe Biden holding on to a narrow lead, but Trump’s job approval is declining in the Suns…",1266155695365394432,1244387137136603136,,628,,,0,0,2
Thu May 28 23:52:51 +0000 2020,@JerryinCA @krystalball @bobbyashhurst You can’t infer that Biden would’ve done a better job than Trump regarding C… https://t.co/p8NQqOYRy3,1266155508446007296,53969326,,1662,,,0,0,2
Thu May 28 23:51:02 +0000 2020,"RT @Kegan05: Joe Biden LEADS In FLORIDA As Trump Approval Sinks 

https://t.co/fN48MpGvY2

""The latest poll of Florida shows Joe Biden hold…",1266155047500558341,32864648,"Ottawa, Ontario, Canada",5856,,,0,0,2
Thu May 28 23:50:10 +0000 2020,"RT @Kegan05: Joe Biden LEADS In FLORIDA As Trump Approval Sinks 

https://t.co/fN48MpGvY2

""The latest poll of Florida shows Joe Biden hold…",1266154832835907586,1079075425819680769,,3265,,,0,0,2
Thu May 28 23:50:06 +0000 2020,@John_F_Kennnedy The health of the citizens of the Constitutional Republic of the USA is the Presidents primary job… https://t.co/SIV7kSekAU,1266154814662234112,3352216462,,544,,,2,5,2
Thu May 28 23:49:28 +0000 2020,"RT @tify330: You don’t have to campaign for a job you deserve and earned. Period! 

Read this article.. https://t.co/R00myAKK0U",1266154656952201227,880153158529503233,"Sunnydale, CA",1818,,,0,0,1
Thu May 28 23:49:22 +0000 2020,".@RonBrownstein does a good job of arguing for this—it’s more persuasive than I thought it would be, but on balance… https://t.co/05e2cOvFIU",1266154629525618689,1059166025877471232,"Amherst, MA",3912,,,0,0,3
