created_at,text,id,user_id,user_loc,user_followers,user_lang,user_time_zone,retweet_count,fav_count,scores
Thu May 28 23:59:58 +0000 2020,RT @RepSwalwell: “Process” — ha! The call Fynn lied about happened in 2016. It’s 2020. You couldn’t figure out how to release that? So were…,1266157299074301954,2352343873,Wakanda,965,,,0,0,2
Thu May 28 23:59:58 +0000 2020,"RT @RepSwalwell: But all of this is secondary to what you were supposed to be doing as DNI. You literally had one job, manage intelligence.…",1266157296188559369,88072616,Greater Chicagoland Area,2368,,,0,0,1
Thu May 28 23:59:57 +0000 2020,RT @thehill: Trump job approval falls to 2-year low in Rasmussen poll https://t.co/vpi9v1WI8G https://t.co/SKktXGU8c7,1266157293130772480,189647323,Chicago,566,,,0,0,1
Thu May 28 23:59:56 +0000 2020,RT @B52Malmet: Two tweets with a fact check exclamation point is enough for Trump to get off his ass in 24 hours. Five months of Americans…,1266157287963422721,776908371291086848,,2917,,,0,0,3
Thu May 28 23:59:56 +0000 2020,"RT @RepSwalwell: But all of this is secondary to what you were supposed to be doing as DNI. You literally had one job, manage intelligence.…",1266157287585931264,2204875680,"California, USA",411,,,0,0,1
Thu May 28 23:59:54 +0000 2020,RT @RepSwalwell: “Process” — ha! The call Fynn lied about happened in 2016. It’s 2020. You couldn’t figure out how to release that? So were…,1266157282766839808,774706784,,29,,,0,0,2
Thu May 28 23:59:53 +0000 2020,"RT @RepSwalwell: But all of this is secondary to what you were supposed to be doing as DNI. You literally had one job, manage intelligence.…",1266157276047593475,2444364156,,220,,,0,0,1
Thu May 28 23:59:52 +0000 2020,"RT @RepSwalwell: But all of this is secondary to what you were supposed to be doing as DNI. You literally had one job, manage intelligence.…",1266157273279131651,1228436104803688451,,39,,,0,0,1
Thu May 28 23:59:46 +0000 2020,"RT @blue_mitchell22: ? trump is the least manly president
He wears makeup, dyies his hair, never works out, doesn't fish, nor shoot, doesn'…",1266157247635357697,822654223238201345,U.S.A.,2784,,,0,0,2
Thu May 28 23:59:46 +0000 2020,"RT @RepSwalwell: But all of this is secondary to what you were supposed to be doing as DNI. You literally had one job, manage intelligence.…",1266157246586765312,1175785415355371520,"South Carolina, USA",256,,,0,0,1
