created_at,text,id,user_id,user_loc,user_followers,user_lang,user_time_zone,retweet_count,fav_count,scores
Thu May 28 23:59:34 +0000 2020,RT @ROBERTPATRIO: NEW MEXICO DEMOCRATIC GOVERNOR MICHELLE GRISHAM BUYS HER JEWELRY AT A STORE THAT OPEN DURING A LOCKDOWN THAT SHE ORDERED…,1266157198305943554,902773144280289282,"Arizona, USA",13392,,,0,0,2
Thu May 28 23:59:26 +0000 2020,"RT @TrumpWarRoom: Democrat Cory Booker says Joe Biden is the ""architect of mass incarceration"" https://t.co/QLu841sV6s",1266157164047065089,3221794568,,4574,,,0,0,2
Thu May 28 23:58:58 +0000 2020,@RepMaxineWaters @realDonaldTrump Wait. Klan?  When did Pres. Trump become a Dem.?  Have you forgotten the Democrat… https://t.co/DOhXHjlPgN,1266157047436853248,24696004,,11,,,0,0,2
Thu May 28 23:57:53 +0000 2020,I've been waiting for them to not just retweet but just declare that being a Democrat is flat out illegal. If the p… https://t.co/iwSpxJpQWC,1266156773800587265,1087907868,"Virginia, USA",138,,,0,1,1
Thu May 28 23:57:51 +0000 2020,"RT @at_P_Elijah: Joe Biden wrote the Crime Bill.
Klobuchar and Harris enforced it.

Police brutality against black lives continues because…",1266156765017710593,842433601891389443,"West Lafayette, IN",624,,,0,0,2
Thu May 28 23:57:13 +0000 2020,RT @ROBERTPATRIO: NEW MEXICO DEMOCRATIC GOVERNOR MICHELLE GRISHAM BUYS HER JEWELRY AT A STORE THAT OPEN DURING A LOCKDOWN THAT SHE ORDERED…,1266156607521656832,708435760,Florida,3551,,,0,0,2
Thu May 28 23:56:49 +0000 2020,"RT @YourSinsR4given: Great recap Mr.G, on the sad 
state of the Democrat Party and their peddling Joe Biden, as a viable Presidential candi…",1266156503444193282,922710167581536257,United States,41817,,,0,0,2
Thu May 28 23:56:39 +0000 2020,This video shows every American what our current President is all about. He needs to be voted out on November 3. We… https://t.co/1L39XvpGxd,1266156464122593287,2227591831,USA,4806,,,0,1,2
Thu May 28 23:55:23 +0000 2020,"@Lily_Warrior @justinamash Yet you're a ""proud Biden Democrat"" (aka old white man). Some of you Dems sure are funny. #JoeBidenIsARacist",1266156144147472384,50875146,"Harbor Isle, NY",94,,,0,1,3
Thu May 28 23:54:54 +0000 2020,"RT @sxdoc: “I’m Black and I ain’t voting for no Biden Democrat”

Always told to vote for someone smarter than I am. That’s NOT any Democrat…",1266156022336385024,964947047836147712,United States,603,,,0,0,1
Thu May 28 23:54:51 +0000 2020,RT @ROBERTPATRIO: NEW MEXICO DEMOCRATIC GOVERNOR MICHELLE GRISHAM BUYS HER JEWELRY AT A STORE THAT OPEN DURING A LOCKDOWN THAT SHE ORDERED…,1266156011372662786,1188806841821810688,,7796,,,0,0,2
Thu May 28 23:54:22 +0000 2020,https://t.co/6GosAhtAuh,1266155888030646273,1259087933237313536,,312,,,0,0,2
Thu May 28 23:54:19 +0000 2020,"RT @idawhannadoyou: @DailyCaller It was @amyklobuchar who refused to prosecute the killer cop the first time he killed someone. 
#GeorgeFlo…",1266155877423251456,4122720987,"Wanaque, NJ",125,,,0,0,1
Thu May 28 23:53:49 +0000 2020,"RT @CareyJo95846484: @RealJamesWoods I would love to see them fact check Biden,AOC or any Democrat for that matter. The left is allowed to…",1266155748914069506,894325042070290432,,2248,,,0,0,2
Thu May 28 23:53:18 +0000 2020,"RT @firedup79: ""The only good Democrat is a dead Democrat""

This was said in a video that the President of the United States tweeted to his…",1266155620018745344,4296218774,,2319,,,0,0,1
Thu May 28 23:53:03 +0000 2020,"'The only good Democrat is a dead Democrat,' speaker says in video gleefully tweeted by Trump:… https://t.co/HNrbzdcoyr",1266155555078504448,714894638658629633,,1337,,,0,0,2
Thu May 28 23:53:01 +0000 2020,"RT @ronaldnzimora: Nigerian ""Liberals"", think Joe Biden will reinstate the visa lottery and approve all of them for green cards once they f…",1266155549818867719,208251577,,680,,,0,0,2
Thu May 28 23:52:54 +0000 2020,"RT @Myrnastwit: @shaunking 1994 Crime Bill that triggered mass incarceration of Blacks, minorities, poor men and women; codified institutio…",1266155519263244289,41506242,,690,,,0,0,2
Thu May 28 23:52:09 +0000 2020,RT @Axelrod_EJ: Multiple College Democrat Groups Refuse to Support Joe Biden over Tara Reade Allegations https://t.co/6g7LNkvkC0 via @Breit…,1266155331446624256,2789083371,,2383,,,0,0,2
Thu May 28 23:52:03 +0000 2020,"RT @CareyJo95846484: @RealJamesWoods I would love to see them fact check Biden,AOC or any Democrat for that matter. The left is allowed to…",1266155306528145409,2327681126,"Manitoba, Canada",25,,,0,0,2
Thu May 28 23:51:41 +0000 2020,"RT @RealSaavedra: New Mexico Democrat governor Michelle Lujan Grisham, who is being vetted by the Biden campaign for a VP spot, called a no…",1266155214102355968,938240031008759808,,737,,,0,0,2
Thu May 28 23:51:14 +0000 2020,"RT @Myrnastwit: @shaunking 1994 Crime Bill that triggered mass incarceration of Blacks, minorities, poor men and women; codified institutio…",1266155099232931840,619150136,"California, USA",2659,,,0,0,2
Thu May 28 23:51:04 +0000 2020,"RT @thugdruggist: I simply will not tolerate any Dem saying anything derisive towards @JoeBiden. We can’t afford it. 

If you are truly a D…",1266155059898916866,46483561,"Hartford, Connecticut U.S.A. ",1156,,,0,0,1
Thu May 28 23:50:27 +0000 2020,"As a registered Democrat, this why Biden has lost my vote in the upcoming presidential election!

Amy Klobuchar Cri… https://t.co/4OO12eEdgd",1266154904692961282,978073979184386048,"Newark, NJ",53,,,0,1,1
Thu May 28 23:50:22 +0000 2020,@232Msgta @1kingmyles Vote for Biden. Face of the jail reforms in the 1990s that put more black people behind bars… https://t.co/VsrnZzrals,1266154880126922755,2242954940,,84,,,0,0,3
Thu May 28 23:49:49 +0000 2020,RT @ROBERTPATRIO: NEW MEXICO DEMOCRATIC GOVERNOR MICHELLE GRISHAM BUYS HER JEWELRY AT A STORE THAT OPEN DURING A LOCKDOWN THAT SHE ORDERED…,1266154742713106441,56145681,"Winston-Salem, North Carolina",11127,,,0,0,2
Thu May 28 23:49:20 +0000 2020,RT @ROBERTPATRIO: NEW MEXICO DEMOCRATIC GOVERNOR MICHELLE GRISHAM BUYS HER JEWELRY AT A STORE THAT OPEN DURING A LOCKDOWN THAT SHE ORDERED…,1266154621342552065,982214742436528129,,1716,,,0,0,2
Thu May 28 23:49:16 +0000 2020,@acnewsitics Let’s face check Biden! It’s true your not black unless you vote Biden! It’s called freedom of speech… https://t.co/5gztR5wVGB,1266154604636459009,821511317622169600,,0,,,0,0,2
Thu May 28 23:49:02 +0000 2020,Multiple College Democrat Groups Refuse to Support Joe Biden over Tara Reade Allegations https://t.co/6g7LNkvkC0 via @BreitbartNews,1266154547547967490,459685872,East Coast,8478,,,1,0,2
Thu May 28 23:48:38 +0000 2020,"@theterryadcock @BenjaminPDixon He's a Democrat. He's a Biden ass-kisser, I guess. All the same racist shit.",1266154445928304640,531561850,somewhere in Tennessee,3877,,,0,3,2
Thu May 28 23:48:27 +0000 2020,"RT @Jim43520096: TV NEWS IS PART OF THE DEMOCRAT FASCIST PARTY IS NOW A FACT! 
1-THEY CALLED PELOSI ANTIFA RIOTERs PEACEFUL
2-TV CALLED PEA…",1266154400940244992,205085276,TX,666,,,0,0,2
Thu May 28 23:46:52 +0000 2020,Hey everyone who’s a democrat of color here is more evidence they could give a shit about you especially when Amy K… https://t.co/QUVtWKS9TV,1266153999553540096,2263024561,"Colorado, USA",3650,,,0,1,1
Thu May 28 23:46:48 +0000 2020,Multiple College Democrat Groups Refuse to Support Joe Biden over Tara Reade Allegations https://t.co/3oU1BiJLHb vi… https://t.co/pa9NMJIhIW,1266153983665553408,1212936043646767104,"Activated  WW, No dms",2122,,,0,0,2
Thu May 28 23:46:44 +0000 2020,"RT @kathy_ritch: @wdunlap @seanhannity I've been saying this for months now but no, the dems won't stop and Biden's wife right in the middl…",1266153967077089280,1111392161570783233,,3377,,,0,0,1
Thu May 28 23:46:39 +0000 2020,#Democrat #Biden essentially threatens a whippin’ for any #black #American who tries to escape the Dem plantation a… https://t.co/fOX7hqLWZi,1266153946973900802,1255938695494066176,Washington D. C. ,249,,,0,0,1
Thu May 28 23:46:31 +0000 2020,"RT @DavidJHarrisJr: Joe Biden refuses to say how much money flowed into his nonprofits from China.
https://t.co/QOBItFC1dR",1266153913167818753,569612713,"Florida, USA",7743,,,0,0,1
Thu May 28 23:45:09 +0000 2020,@povey_adam @Thomas1774Paine Paid to take the heat off of Biden and democrat party?,1266153567540457474,2998172151,Republican state,433,,,0,7,2
Thu May 28 23:44:45 +0000 2020,RT @Hilohaw: @JoeBiden Whoever is writing these tweets wants us to believe a Democrat would have handled things better?? Tell the people in…,1266153467250434050,54223283,"Dallas, Texas",3878,,,0,0,3
Thu May 28 23:44:36 +0000 2020,"RT @JerryKarenNeff: Multiple College Democrat Groups Refuse to Support Demented Ole Pervert, Sexual Abuser, Racist &amp; Liar Joe Biden over Ta…",1266153431313428481,1024067265598087169,NSW OZ,3652,,,0,0,1
Thu May 28 23:43:53 +0000 2020,@theblaze Another trustee of the democrat plantation speaks. Poor black sister Maxine.  She's as demented as Sleepy… https://t.co/JrgR86Q5iu,1266153250648096768,24371549,,88,,,0,0,2
Thu May 28 23:42:36 +0000 2020,@WhiteHouse @realDonaldTrump Are you giving money to Breighbart news or Fox who only report what you tell them? Wou… https://t.co/RYcr6XM1ad,1266152929192484865,2820232292,"Towson, MD",835,,,0,0,1
Thu May 28 23:42:04 +0000 2020,"RT @Jim43520096: TV NEWS IS PART OF THE DEMOCRAT FASCIST PARTY IS NOW A FACT! 
1-THEY CALLED PELOSI ANTIFA RIOTERs PEACEFUL
2-TV CALLED PEA…",1266152791577329664,25354156,"Florida, USA",6856,,,0,0,2
Thu May 28 23:41:11 +0000 2020,"RT @mikebravodude: The democrat party still thinks they own the black population and Joe Biden was honest about it. 

https://t.co/lrBcbXU1…",1266152570193694721,24598071,"Minnesota, USA",924,,,0,0,3
Thu May 28 23:40:41 +0000 2020,Fox News Go https://t.co/sjcNWxyJDr I can't stand when the democrat commentator comes on to give an apology for why… https://t.co/ryDjWgPtoe,1266152445509599232,1667916223,,13,,,0,0,1
Thu May 28 23:40:38 +0000 2020,@thomaskaine5 I like her very much but I don't want to see Biden pick any Democrat from the Senate. We need all of… https://t.co/wkFmqdTXGp,1266152431114731523,1104435050035245056,,1003,,,0,2,1
Thu May 28 23:40:04 +0000 2020,One must attempt to understand the mind of a Democrat. If Joe Biden was shot by a member of the congressional black… https://t.co/TpxxzdulOX,1266152288374026240,1255092186279866369,"Lake Havasu City, AZ",174,,,0,1,2
Thu May 28 23:40:00 +0000 2020,College Democrat organizations around the country have expressed reservations about supporting Democratic president… https://t.co/0IIHkzvzMw,1266152271756345346,1247725362936774658,United States,3753,,,0,1,2
Thu May 28 23:39:39 +0000 2020,"RT @MattBors: They cancelled over what they saw as allying with the right against Biden. I see Chelsea Saunders, a young black woman (award…",1266152186381324293,535724773,"Toronto, Ontario",1762,,,0,0,2
Thu May 28 23:39:21 +0000 2020,"@DaddyJim52 @Jdodsdoc1 @clairecmc @gtconway3d I just can’t vote for him or any democrat, more concerning is his pos… https://t.co/FVM8xLipOS",1266152107960422403,840764280999968768,Flyover State,2225,,,0,0,2
Thu May 28 23:38:59 +0000 2020,"RT @Scattermae777M: Fake Black Democrat Communist, Kamala Harris,  who's family held slaves &amp; who trashed Joe Biden as an idiot &amp; racist, s…",1266152015526322180,1917632858,,14213,,,0,0,1
Thu May 28 23:38:28 +0000 2020,RT @paulsperry_: Let's pretend Biden &amp; DNC were holding convention in Charlotte. Now imagine editorial board of Charlotte Observer (owned b…,1266151886325010432,441356376,"Charlotte, NC",3032,,,0,0,2
Thu May 28 23:38:19 +0000 2020,"RT @RubenGo11067742: trump is going to pull a PUTIN MOVE. He wants the Government to CENSOR, -POLICE SOCIAL MEDIA. WHY? Because Twitter Fac…",1266151848353968130,29982751,,2382,,,0,0,2
